metric,column,label,region_group,chem_n,chem_mean,chem_median,hpf_n,hpf_mean,hpf_median
volume_fraction,ecs_fraction,ECS frac,Bile canaliculus,3,0.19807892708333333,0.1921095,4,0.08213289814814814,0.07334092592592593
volume_fraction,ecs_fraction,ECS frac,Cardiac interstitial,2,0.2584497625,0.2584497625,2,0.29947124999999997,0.29947124999999997
volume_fraction,ecs_fraction,ECS frac,DCT base,1,0.1949563125,0.1949563125,3,0.11525516638608305,0.10857792592592592
volume_fraction,ecs_fraction,ECS frac,Glomerular,2,0.39989541666666667,0.39989541666666667,2,0.4978841281179138,0.4978841281179138
volume_fraction,ecs_fraction,ECS frac,Hepatocyte lateral,6,0.06719709069113756,0.044557204365079366,6,0.06973528004850088,0.0284764875
volume_fraction,ecs_fraction,ECS frac,Intercalated disc,2,0.10201815625,0.10201815625,2,0.12384982916666666,0.12384982916666666
volume_fraction,ecs_fraction,ECS frac,PCT lateral,1,0.014405139553429027,0.014405139553429027,1,0.09002120833333334,0.09002120833333334
volume_fraction,cell_fraction,cell frac,Bile canaliculus,3,0.8019210729166667,0.8078905,4,0.9178671018518518,0.9266590740740741
volume_fraction,cell_fraction,cell frac,Cardiac interstitial,2,0.7415502375,0.7415502375,2,0.7005287499999999,0.7005287499999999
volume_fraction,cell_fraction,cell frac,DCT base,1,0.8050436875,0.8050436875,3,0.8847448336139169,0.891422074074074
volume_fraction,cell_fraction,cell frac,Glomerular,2,0.6001045833333334,0.6001045833333334,2,0.5021158718820862,0.5021158718820862
volume_fraction,cell_fraction,cell frac,Hepatocyte lateral,6,0.9328029093088624,0.9554427956349206,6,0.9302647199514991,0.9715235125
volume_fraction,cell_fraction,cell frac,Intercalated disc,2,0.89798184375,0.89798184375,2,0.8761501708333334,0.8761501708333334
volume_fraction,cell_fraction,cell frac,PCT lateral,1,0.985594860446571,0.985594860446571,1,0.9099787916666666,0.9099787916666666
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Bile canaliculus,3,10.247410293710624,9.797958971132712,4,12.82842712474619,13.65685424949238
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Cardiac interstitial,2,16.94427190999916,16.94427190999916,2,16.94427190999916,16.94427190999916
ecs_width,narrow_percentiles_nm_p25,width p25 nm,DCT base,1,8.0,8.0,3,8.0,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Glomerular,2,17.165151389911678,17.165151389911678,2,20.64911064067352,20.64911064067352
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Hepatocyte lateral,6,9.415403750411773,8.0,6,8.552284749830793,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Intercalated disc,2,10.928203230275509,10.928203230275509,2,13.797958971132712,13.797958971132712
ecs_width,narrow_percentiles_nm_p25,width p25 nm,PCT lateral,1,4.0,4.0,1,8.0,8.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Bile canaliculus,3,28.94215213278907,32.49615361854384,4,28.283240345371283,28.97056274847714
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Cardiac interstitial,2,33.728292586389486,33.728292586389486,2,35.3627076014669,35.3627076014669
ecs_width,narrow_percentiles_nm_p50,width p50 nm,DCT base,1,23.664319132398465,23.664319132398465,3,12.161274486173513,11.313708498984761
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Glomerular,2,35.94579241286413,35.94579241286413,2,43.04809272389409,43.04809272389409
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Hepatocyte lateral,6,17.421549297382413,16.0,6,12.539891129716887,11.313708498984761
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Intercalated disc,2,22.966629547095764,22.966629547095764,2,25.540659228538015,25.540659228538015
ecs_width,narrow_percentiles_nm_p50,width p50 nm,PCT lateral,1,8.0,8.0,1,13.856406460551018,13.856406460551018
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Bile canaliculus,3,69.14142217206683,70.9929573971954,4,56.736370390353024,54.17601498127012
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Cardiac interstitial,2,81.47889315327251,81.47889315327251,2,74.4387194126662,74.4387194126662
ecs_width,narrow_percentiles_nm_p75,width p75 nm,DCT base,1,44.0,44.0,3,18.457668527420687,17.88854381999832
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Glomerular,2,63.890153572861976,63.890153572861976,2,76.55921568790309,76.55921568790309
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Hepatocyte lateral,6,35.40481461062635,35.59591794226542,6,22.73787436974098,16.94427190999916
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Intercalated disc,2,36.6119297803318,36.6119297803318,2,40.756711799060874,40.756711799060874
ecs_width,narrow_percentiles_nm_p75,width p75 nm,PCT lateral,1,14.966629547095765,14.966629547095765,1,22.627416997969522,22.627416997969522
ecs_width,narrow_fraction,frac <200nm,Bile canaliculus,3,0.9513345283019036,0.9955036148365574,4,0.9917373501733021,0.998400965801342
ecs_width,narrow_fraction,frac <200nm,Cardiac interstitial,2,0.8198239009700963,0.8198239009700963,2,0.9502030954332805,0.9502030954332805
ecs_width,narrow_fraction,frac <200nm,DCT base,1,1.0,1.0,3,1.0,1.0
ecs_width,narrow_fraction,frac <200nm,Glomerular,2,0.9911000411425746,0.9911000411425746,2,0.827557885017953,0.827557885017953
ecs_width,narrow_fraction,frac <200nm,Hepatocyte lateral,6,0.9997542745653255,0.9999985514552081,6,0.9982066311504953,1.0
ecs_width,narrow_fraction,frac <200nm,Intercalated disc,2,1.0,1.0,2,0.9999740185346825,0.9999740185346825
ecs_width,narrow_fraction,frac <200nm,PCT lateral,1,1.0,1.0,1,1.0,1.0
voronoi_gap,percentiles_nm_p25,gap p25 nm,Bile canaliculus,3,24.20762601724308,17.65685424949238,4,32.58505747976789,34.241911729260266
voronoi_gap,percentiles_nm_p25,gap p25 nm,Cardiac interstitial,2,61.72174080355052,61.72174080355052,2,53.797958971132715,53.797958971132715
voronoi_gap,percentiles_nm_p25,gap p25 nm,DCT base,1,13.65685424949238,13.65685424949238,3,33.588677633933735,32.0
voronoi_gap,percentiles_nm_p25,gap p25 nm,Glomerular,2,58.227314901667256,58.227314901667256,2,68.96986227707436,68.96986227707436
voronoi_gap,percentiles_nm_p25,gap p25 nm,Hepatocyte lateral,6,31.3996721083996,27.31370849898476,6,29.742847719153687,27.31370849898476
voronoi_gap,percentiles_nm_p25,gap p25 nm,Intercalated disc,2,35.59591794226542,35.59591794226542,2,37.111667470117474,37.111667470117474
voronoi_gap,percentiles_nm_p25,gap p25 nm,PCT lateral,1,12.0,12.0,1,35.31370849898476,35.31370849898476
voronoi_gap,percentiles_nm_p50,gap p50 nm,Bile canaliculus,3,42.60544080539835,39.3008655283005,4,58.84758543160123,53.760778110790994
voronoi_gap,percentiles_nm_p50,gap p50 nm,Cardiac interstitial,2,79.49812434175692,79.49812434175692,2,90.87649079624927,90.87649079624927
voronoi_gap,percentiles_nm_p50,gap p50 nm,DCT base,1,19.872475140274666,19.872475140274666,3,39.188067721016566,41.452324402816444
voronoi_gap,percentiles_nm_p50,gap p50 nm,Glomerular,2,105.65288533811454,105.65288533811454,2,125.22391567878499,125.22391567878499
voronoi_gap,percentiles_nm_p50,gap p50 nm,Hepatocyte lateral,6,42.342578933887474,28.970562748477143,6,37.15727573389381,31.31370849898476
voronoi_gap,percentiles_nm_p50,gap p50 nm,Intercalated disc,2,59.54683720750212,59.54683720750212,2,97.94109938307034,97.94109938307034
voronoi_gap,percentiles_nm_p50,gap p50 nm,PCT lateral,1,20.94427190999916,20.94427190999916,1,41.88854381999832,41.88854381999832
voronoi_gap,percentiles_nm_p75,gap p75 nm,Bile canaliculus,3,135.59485295208273,126.62768258672632,4,117.34127986571792,120.99160428654687
voronoi_gap,percentiles_nm_p75,gap p75 nm,Cardiac interstitial,2,121.54065922853802,121.54065922853802,2,155.02035147070427,155.02035147070427
voronoi_gap,percentiles_nm_p75,gap p75 nm,DCT base,1,101.6436458225811,101.6436458225811,3,50.11173790015607,50.22333494023495
voronoi_gap,percentiles_nm_p75,gap p75 nm,Glomerular,2,164.20713499702777,164.20713499702777,2,190.7930948335178,190.7930948335178
voronoi_gap,percentiles_nm_p75,gap p75 nm,Hepatocyte lateral,6,68.01938647442239,47.68650279113103,6,51.3195594697594,40.39908513062425
voronoi_gap,percentiles_nm_p75,gap p75 nm,Intercalated disc,2,97.65428595837861,97.65428595837861,2,125.66222364377771,125.66222364377771
voronoi_gap,percentiles_nm_p75,gap p75 nm,PCT lateral,1,28.58020766040636,28.58020766040636,1,48.51596081796784,48.51596081796784
voronoi_gap,contact_fractions_p40,contact<40nm,Bile canaliculus,3,0.43937076944266173,0.5048443612935645,4,0.3535697252305316,0.3505981139145112
voronoi_gap,contact_fractions_p40,contact<40nm,Cardiac interstitial,2,0.040931637701991715,0.040931637701991715,2,0.14011778280540835,0.14011778280540835
voronoi_gap,contact_fractions_p40,contact<40nm,DCT base,1,0.6611157914982798,0.6611157914982798,3,0.44916924178932455,0.45388372863601867
voronoi_gap,contact_fractions_p40,contact<40nm,Glomerular,2,0.13447839629257546,0.13447839629257546,2,0.11806828264438975,0.11806828264438975
voronoi_gap,contact_fractions_p40,contact<40nm,Hepatocyte lateral,6,0.6692012426078793,0.6814441725162346,6,0.6554447880696906,0.7569968540388716
voronoi_gap,contact_fractions_p40,contact<40nm,Intercalated disc,2,0.2771769420271222,0.2771769420271222,2,0.5273315849493255,0.5273315849493255
voronoi_gap,contact_fractions_p40,contact<40nm,PCT lateral,1,0.917252860188386,0.917252860188386,1,0.3770880963903676,0.3770880963903676
voronoi_gap,contact_fractions_p80,contact<80nm,Bile canaliculus,3,0.6485781224777275,0.6585144590766119,4,0.6519986568448963,0.6470707327980789
voronoi_gap,contact_fractions_p80,contact<80nm,Cardiac interstitial,2,0.5230115920797097,0.5230115920797097,2,0.44064062186615677,0.44064062186615677
voronoi_gap,contact_fractions_p80,contact<80nm,DCT base,1,0.7086215981574687,0.7086215981574687,3,0.9362767387537491,0.9296173238138762
voronoi_gap,contact_fractions_p80,contact<80nm,Glomerular,2,0.3852854022654804,0.3852854022654804,2,0.31969879675489493,0.31969879675489493
voronoi_gap,contact_fractions_p80,contact<80nm,Hepatocyte lateral,6,0.8230968214282361,0.9093589884028888,6,0.8749513726941605,0.9220524697843844
voronoi_gap,contact_fractions_p80,contact<80nm,Intercalated disc,2,0.7201087383005236,0.7201087383005236,2,0.6862799319848489,0.6862799319848489
voronoi_gap,contact_fractions_p80,contact<80nm,PCT lateral,1,1.0,1.0,1,0.9845885553126512,0.9845885553126512
sa_v,sa_v_ecs_per_nm,SA:V /nm,Bile canaliculus,3,0.010477968708505866,0.010056355058418356,4,0.0030943576819296823,0.0028978524580160186
sa_v,sa_v_ecs_per_nm,SA:V /nm,Cardiac interstitial,2,0.007594456349181248,0.007594456349181248,2,0.010404139116438465,0.010404139116438465
sa_v,sa_v_ecs_per_nm,SA:V /nm,DCT base,1,0.016933766533660317,0.016933766533660317,3,0.010725203512743347,0.008254140847962691
