crop,tissue,prep,region_group,voxel_nm,n_cells_considered,n_cells_included,total_ecs_surface_nm2,curvature_abs_median_per_nm,curvature_abs_p25_per_nm,curvature_abs_p75_per_nm,curvature_signed_median_per_nm,curvature_signed_p10_per_nm,curvature_signed_p90_per_nm,curvature_std_per_nm,curvature_iqr_per_nm,fraction_convex,fraction_concave,fraction_flat,roughness_rms_nm_p30,roughness_rms_nm_p60,roughness_rms_nm_p120,protrusion_density_per_um2,indentation_density_per_um2,protrusion_count,indentation_count,native_voxel_nm,analysis_voxel_nm
crop1145,Heart,Chemical,Cardiac interstitial,16.0,3,3,12337613.721833127,0.003938464977137352,0.0017295854857526014,0.008408709998602187,0.0009219165847165145,-0.010387023209168579,0.010467360260502073,0.012945220672396273,0.0066791245128495855,0.4179835301988189,0.29252557855722444,0.2894908912439569,2.112920435052054,5.20211293706023,11.455934806844152,13.049525105092897,8.834771655000782,161,109,8.0,16.0
crop1147,Heart,Chemical,Intercalated disc,16.0,3,3,12617111.666040368,0.0033079451012924164,0.0014317825274306687,0.0062830876334652305,0.0005249758954884019,-0.006045872697016344,0.008510179300736017,0.008091060984856653,0.0048513051060345615,0.37948340586911816,0.2856941161488026,0.33482247798207926,1.1274219561896477,3.63027200300674,9.941092197150658,10.303467500402803,4.913961423269029,130,62,8.0,16.0
crop1146,Heart,Chemical,Cardiac interstitial,16.0,5,5,19734801.047970664,0.004133462363646318,0.0017595845727347654,0.008259398082701548,0.0011591087919851487,-0.008118785421776978,0.010859246343700361,0.011124120546900066,0.0064998135099667825,0.4402199038532495,0.2800368988218636,0.27974319732488684,1.7122128800731842,4.868550237142577,11.749839043023174,11.350507129791106,6.536675980995771,224,129,8.0,16.0
crop1028,Kidney,Chemical,PCT brush border,16.0,104,73,14457622.994796775,0.00851745775307565,0.004734840786777903,0.013156321791346138,0.008423078478686107,0.0009804697143408398,0.018480635778143326,0.007996607780959387,0.008421481004568236,0.8637345941703269,0.038091632723053936,0.09817377310661936,2.4585542762877757,7.532513856794494,23.236826482444833,21.303640308704107,0.4150059800396904,308,6,4.0,16.0
crop1044,Liver,Chemical,Hepatocyte lateral,16.0,41,9,12768348.582181161,0.006419662829010744,0.0029725612025745915,0.011502644405086167,0.0035859801288981646,-0.008025108920002475,0.015554974593094805,0.0125847408151502,0.008530083202511576,0.5728250394448865,0.2570237173266273,0.17015124322848607,1.7865783710699872,5.795027963731662,16.018697455798815,13.079216856051099,6.265493104695137,167,80,4.0,16.0
crop1029,Kidney,Chemical,PCT brush border,16.0,97,76,14502246.020106109,0.008106881441112256,0.0045927428395935894,0.012609127739497154,0.008077340360163401,0.0015777575735404612,0.018212327061232787,0.007659844901736752,0.008016384899903565,0.8830655515683166,0.024535257107531083,0.09239919132415247,2.2566632887002624,7.156036175493532,22.090352304854672,19.23839932195266,0.06895483627940022,279,1,4.0,16.0
crop1039,Liver,Chemical,Bile canaliculus,16.0,19,10,16961584.51384192,0.0066784441548428984,0.0029782521303942768,0.012668788649884797,0.002505492909085773,-0.013701916805595479,0.014944133513626253,0.015733730088164366,0.00969053651949052,0.5224185225766984,0.30517537794299443,0.17240609948030725,2.0351729320627756,6.1910064865004015,15.584853578614881,12.970486325759458,8.371859355717469,220,142,4.0,16.0
crop1043,Liver,Chemical,Space of Disse,16.0,81,18,27301418.9284335,0.006437705776606701,0.0030076761737533528,0.011278586455055792,0.004704661023868918,-0.005700274217569888,0.015796522169177752,0.010678827342932838,0.008270910281302439,0.6352371396537362,0.19570295255978595,0.16905990778647778,2.001508541562654,5.883120523834373,17.314006201799437,13.955318622769509,4.468632209915696,381,122,4.0,16.0
crop1036,Cortex,Chemical,,16.0,14,12,4913719.3898168905,0.005046923533033171,0.0022159908575973635,0.009533870864995372,0.004106301052809759,-0.0031104256900927633,0.015469970179892682,0.008867312901090595,0.007317880007398008,0.6316215465980888,0.14091367485256162,0.22746477854934957,1.7772619519235373,5.337810112640153,15.880755589668349,20.35118248861307,1.6280945990890456,100,8,2.0,16.0
crop1041,Liver,Chemical,Space of Disse,16.0,50,14,18223464.98959737,0.005868167910898308,0.00262080916031087,0.010848810418820418,0.003812595849698583,-0.0058509738863125145,0.015814477450316108,0.012047282580644303,0.008228001258509548,0.59166891983736,0.21410797334099277,0.19422310682164726,1.7893199207404191,5.589923316733387,15.52264054505103,12.895461984542827,3.5668299106182286,235,65,4.0,16.0
crop1042,Liver,Chemical,Bile canaliculus,16.0,24,18,18634161.86041897,0.00793637993739116,0.00376908331446993,0.013607100522997224,0.0057696156350356955,-0.007402494584147412,0.01825181908476979,0.014484398492659522,0.009838017208527294,0.6529180921298381,0.21052176762557853,0.13656014024458313,2.0822584071729477,6.577686752045,18.482336916671652,13.147894809286122,4.507849648898099,245,84,4.0,16.0
crop1031,Kidney,Chemical,PCT lateral,16.0,2,2,16814094.712672688,0.003572527311506467,0.001247044111160523,0.006519715063023816,-9.53674315709108e-07,-0.006773572830656774,0.007798297031977989,0.0068023113370498794,0.005272670951863293,0.3279182722539545,0.32366223254206905,0.34841949520397636,0.9481608608806895,2.6166889451162296,6.909420871165538,11.121621662988442,5.768969525721277,187,97,4.0,16.0
crop1040,Liver,Chemical,Bile canaliculus,16.0,27,19,19852657.39448427,0.007971666758563149,0.003968607167549858,0.013780245309426708,0.004392989777909972,-0.016008099911351496,0.015538696256288226,0.017317064901678628,0.00981163814187685,0.6003822882260541,0.2739312653202579,0.12568644645368818,2.3942516895682235,6.569740316804776,17.564429516511655,12.693514777019926,7.051952653899959,252,140,4.0,16.0
