tissue,region_group,n_chem,n_hpf,H_chem,H_hpf,H_ratio_chem_over_hpf,d_chem,d_hpf,d_ratio_chem_over_hpf,g_chem,g_hpf,g_ratio_chem_over_hpf,n_chem_no_outliers,n_hpf_no_outliers,H_chem_no_outliers,H_hpf_no_outliers,H_ratio_chem_over_hpf_no_outliers,d_chem_no_outliers,d_hpf_no_outliers,d_ratio_chem_over_hpf_no_outliers,g_chem_no_outliers,g_hpf_no_outliers,g_ratio_chem_over_hpf_no_outliers
Heart,Cardiac interstitial,2,2,0.0048631487879902124,0.00305423850659281,1.5922622864889986,2.5433552265167236,1.8173531293869019,1.399483229423191,91.21133422851562,88.12079620361328,1.0350716080431377,2,2,0.0048631487879902124,0.00305423850659281,1.5922622864889986,2.5433552265167236,1.8173531293869019,1.399483229423191,91.21133422851562,88.12079620361328,1.0350716080431377
Heart,Intercalated disc,2,2,0.002551588462665677,0.0034422664903104305,0.7412524480158913,1.6658415794372559,2.2201608419418335,0.7503247278157785,35.31370830535889,110.65727996826172,0.3191268420431753,2,2,0.002551588462665677,0.0034422664903104305,0.7412524480158913,1.6658415794372559,2.2201608419418335,0.7503247278157785,35.31370830535889,110.65727996826172,0.3191268420431753
Kidney,DCT base,1,3,0.0020876696798950434,0.0025322125293314457,0.8244448898790614,1.1993191242218018,1.4095158576965332,0.8508730977895912,22.627416610717773,39.191837310791016,0.5773502382979013,1,3,0.0020876696798950434,0.0025322125293314457,0.8244448898790614,1.1993191242218018,1.4095158576965332,0.8508730977895912,22.627416610717773,39.191837310791016,0.5773502382979013
Kidney,Glomerular,2,2,0.0036860585678368807,0.004691527923569083,0.7856840304240817,2.5011065006256104,3.1391762495040894,0.7967397501241678,87.25704956054688,144.49906539916992,0.60385891991415,2,2,0.0036860585678368807,0.004691527923569083,0.7856840304240817,2.5011065006256104,3.1391762495040894,0.7967397501241678,87.25704956054688,144.49906539916992,0.60385891991415
Kidney,PCT lateral,1,1,0.001630381215363741,0.0062606194987893105,0.2604185122061845,0.783126950263977,3.9215087890625,0.19970041950389106,22.627416610717773,96.0,0.23570225636164346,1,1,0.001630381215363741,0.0062606194987893105,0.2604185122061845,0.783126950263977,3.9215087890625,0.19970041950389106,22.627416610717773,96.0,0.23570225636164346
Liver,Bile canaliculus,3,4,0.007499606814235449,0.003549083834514022,2.1131106403583657,4.4125189781188965,1.973273515701294,2.236141590615077,53.06599807739258,51.831220626831055,1.0238230440191936,3,4,0.007499606814235449,0.003549083834514022,2.1131106403583657,4.4125189781188965,1.973273515701294,2.236141590615077,53.06599807739258,51.831220626831055,1.0238230440191936
Liver,Hepatocyte lateral,6,6,0.0023352979915216565,0.0016247938619926572,1.4372887823798353,1.3315799236297607,0.8405802249908447,1.5841199733722784,25.170114517211914,29.856406211853027,0.8430389893080752,3,5,0.002341517945751548,0.0015033893287181854,1.5574927272817378,1.4153058528900146,0.7571429014205933,1.869271771860424,27.712812423706055,27.712812423706055,1.0
