metric,column,label,tissue,prep,n,mean,median
voronoi_gap,percentiles_nm_p50,gap p50 nm,Heart,Rapid HPF,4,94.4087950896598,90.87649079624927
voronoi_gap,percentiles_nm_p50,gap p50 nm,Kidney,Chemical,7,56.710129820157405,45.93673728290915
voronoi_gap,percentiles_nm_p50,gap p50 nm,Kidney,Rapid HPF,6,68.31676305676967,43.68650279113103
voronoi_gap,percentiles_nm_p50,gap p50 nm,Liver,Chemical,12,49.90380492823989,37.579333202159575
voronoi_gap,percentiles_nm_p50,gap p50 nm,Liver,Rapid HPF,10,45.833399612976784,45.111667470117474
voronoi_gap,percentiles_nm_p75,gap p75 nm,Cortex,Chemical,7,56.21687627999881,23.162634459682273
voronoi_gap,percentiles_nm_p75,gap p75 nm,Cortex,Rapid HPF,2,47.85389835124934,47.85389835124934
voronoi_gap,percentiles_nm_p75,gap p75 nm,Heart,Chemical,4,109.59747259345832,111.50624092363907
voronoi_gap,percentiles_nm_p75,gap p75 nm,Heart,Rapid HPF,4,140.341287557241,155.02035147070427
voronoi_gap,percentiles_nm_p75,gap p75 nm,Kidney,Chemical,7,175.37834257047726,163.16129506733344
voronoi_gap,percentiles_nm_p75,gap p75 nm,Kidney,Rapid HPF,6,96.73956069757861,52.425375969102234
voronoi_gap,percentiles_nm_p75,gap p75 nm,Liver,Chemical,12,99.19484529603686,108.15602952275529
voronoi_gap,percentiles_nm_p75,gap p75 nm,Liver,Rapid HPF,10,77.72824762814281,61.113153776078
voronoi_gap,contact_fractions_p40,contact<40nm,Cortex,Chemical,7,0.8560843572075529,0.9601948253019081
voronoi_gap,contact_fractions_p40,contact<40nm,Cortex,Rapid HPF,2,0.6770664388770727,0.6770664388770727
voronoi_gap,contact_fractions_p40,contact<40nm,Heart,Chemical,4,0.15905428986455694,0.07562482939973042
voronoi_gap,contact_fractions_p40,contact<40nm,Heart,Rapid HPF,4,0.333724683877367,0.186288485324538
voronoi_gap,contact_fractions_p40,contact<40nm,Kidney,Chemical,7,0.4617617095073774,0.4396934796749802
voronoi_gap,contact_fractions_p40,contact<40nm,Kidney,Rapid HPF,6,0.3267887311745201,0.299967425608771
voronoi_gap,contact_fractions_p40,contact<40nm,Liver,Chemical,12,0.5036137240793787,0.518193425233193
voronoi_gap,contact_fractions_p40,contact<40nm,Liver,Rapid HPF,10,0.5346947629340271,0.429279979566364
voronoi_gap,contact_fractions_p80,contact<80nm,Cortex,Chemical,7,0.9519376723554456,0.999837560978086
voronoi_gap,contact_fractions_p80,contact<80nm,Cortex,Rapid HPF,2,0.9189145607944565,0.9189145607944565
voronoi_gap,contact_fractions_p80,contact<80nm,Heart,Chemical,4,0.6215601651901166,0.5436903449768957
voronoi_gap,contact_fractions_p80,contact<80nm,Heart,Rapid HPF,4,0.5634602769255028,0.44064062186615677
voronoi_gap,contact_fractions_p80,contact<80nm,Kidney,Chemical,7,0.6103280455954929,0.6189138682398769
voronoi_gap,contact_fractions_p80,contact<80nm,Kidney,Rapid HPF,6,0.738802727513948,0.9232793573882261
voronoi_gap,contact_fractions_p80,contact<80nm,Liver,Chemical,12,0.7124882001579963,0.6725444571116114
voronoi_gap,contact_fractions_p80,contact<80nm,Liver,Rapid HPF,10,0.7857702863544548,0.8399303595850582
sa_v,sa_v_ecs_per_nm,SA:V /nm,Cortex,Chemical,7,0.0179961765566477,0.018181639911573386
sa_v,sa_v_ecs_per_nm,SA:V /nm,Cortex,Rapid HPF,2,0.01652456592676548,0.01652456592676548
sa_v,sa_v_ecs_per_nm,SA:V /nm,Heart,Chemical,4,0.006633287413432754,0.006636549768126681
sa_v,sa_v_ecs_per_nm,SA:V /nm,Heart,Rapid HPF,4,0.007991499204395373,0.0066461759986801245
