metric,column,label,tissue,prep,n,mean,median
topology,fraction_flat,frac flat,Kidney,Chemical,7,0.2743283638663875,0.26337744471199337
topology,fraction_flat,frac flat,Liver,Chemical,12,0.2549730556230055,0.22696789379153365
topology,curvature_std_per_nm,|H| std /nm,Cortex,Chemical,7,0.007143275599398714,0.00715041674431557
topology,curvature_std_per_nm,|H| std /nm,Heart,Chemical,3,0.009917246255200404,0.010243313099306938
topology,curvature_std_per_nm,|H| std /nm,Kidney,Chemical,7,0.006589033552180585,0.006253655233109925
topology,curvature_std_per_nm,|H| std /nm,Liver,Chemical,12,0.010542417503816594,0.009629597029862737
topology,roughness_rms_nm_p30,rough 30nm,Cortex,Chemical,7,1.3707766618745314,1.3529265373592978
topology,roughness_rms_nm_p30,rough 30nm,Heart,Chemical,3,1.4910514601968445,1.5478098855790583
topology,roughness_rms_nm_p30,rough 30nm,Kidney,Chemical,7,1.3505185658710777,1.3228531628306692
topology,roughness_rms_nm_p30,rough 30nm,Liver,Chemical,12,1.5166270326212585,1.590129281887268
topology,roughness_rms_nm_p60,rough 60nm,Cortex,Chemical,7,4.52341740325385,4.393798062714293
topology,roughness_rms_nm_p60,rough 60nm,Heart,Chemical,3,4.319421411783688,4.640795307490888
topology,roughness_rms_nm_p60,rough 60nm,Kidney,Chemical,7,4.528207664281706,4.3198074654613166
topology,roughness_rms_nm_p60,rough 60nm,Liver,Chemical,12,4.761281915637907,5.162634049909876
topology,roughness_rms_nm_p120,rough 120nm,Cortex,Chemical,7,13.761401622632624,13.131564953979739
topology,roughness_rms_nm_p120,rough 120nm,Heart,Chemical,3,10.470964559913831,10.954480598404723
topology,roughness_rms_nm_p120,rough 120nm,Kidney,Chemical,7,13.889945825712285,12.928075296737033
topology,roughness_rms_nm_p120,rough 120nm,Liver,Chemical,12,13.58287839338219,14.890829026495966
topology,protrusion_density_per_um2,prot/um2,Cortex,Chemical,7,20.50147594721902,20.11903590969504
topology,protrusion_density_per_um2,prot/um2,Heart,Chemical,3,10.969017423921084,10.582858444277052
topology,protrusion_density_per_um2,prot/um2,Kidney,Chemical,7,14.408907781504308,13.37347927740299
topology,protrusion_density_per_um2,prot/um2,Liver,Chemical,12,12.48544977365361,12.807149044743657
topology,indentation_density_per_um2,ind/um2,Cortex,Chemical,7,2.1852865422443877,1.8204815628154083
topology,indentation_density_per_um2,ind/um2,Heart,Chemical,3,6.719068062089037,5.8686408899084865
topology,indentation_density_per_um2,ind/um2,Kidney,Chemical,7,3.0280685041495192,3.2325829029709063
topology,indentation_density_per_um2,ind/um2,Liver,Chemical,12,5.215571933921935,5.2014364245483655
