tissue,prep,n_crops,abs_curvature_p50_nm-1_median,abs_curvature_p50_nm-1_iqr_lo,abs_curvature_p50_nm-1_iqr_hi,abs_deviation_p50_nm_median,abs_deviation_p50_nm_iqr_lo,abs_deviation_p50_nm_iqr_hi,gap_p50_nm_median,gap_p50_nm_iqr_lo,gap_p50_nm_iqr_hi,frac_convex_median,frac_convex_iqr_lo,frac_convex_iqr_hi,frac_protrusion_median,frac_protrusion_iqr_lo,frac_protrusion_iqr_hi,gap_bounded_frac_median,gap_bounded_frac_iqr_lo,gap_bounded_frac_iqr_hi
Kidney,Chemical,7,0.003075462533161044,0.0020876696798950434,0.0037513072602450848,2.3047945499420166,1.1993191242218018,2.541949510574341,48.0,22.627416610717773,73.32121276855469,0.6218980867588558,0.4863842662632375,0.8206214689265536,0.6266717181284334,0.46850501994223626,0.8837772397094431,0.183,0.067,0.283
Kidney,Rapid HPF,6,0.003387869568541646,0.0024406673619523644,0.005671834805980325,2.187966763973236,1.3555023670196533,3.738208591938019,51.47182655334473,36.322081089019775,129.82732772827148,0.4622807524237175,0.44940490386415455,0.6565093709135297,0.4644604947964281,0.435200615714018,0.6585969629424587,0.21050000000000002,0.06124999999999999,0.4285
Heart,Chemical,4,0.0029361939523369074,0.002308155409991741,0.005877756513655186,1.81129789352417,1.4664084911346436,3.0360888242721558,69.25483322143555,28.97056245803833,91.56216812133789,0.5634394761329742,0.5016009829788304,0.6337378158210974,0.5784152752608138,0.5074479112711627,0.6532783175734315,0.139,0.06475,0.29500000000000004
Heart,Rapid HPF,4,0.0031525021186098456,0.002840840141288936,0.0037514152354560792,1.9121068120002747,1.72231063246727,2.4218535125255585,88.12079620361328,44.39607810974121,165.650239944458,0.5429549778768551,0.4801414964529786,0.5895363001595728,0.5545330514495338,0.4819624427514568,0.5946730670952407,0.1845,0.05175,0.43725
Liver,Chemical,12,0.0047895454335957766,0.002332188014406711,0.006323647918179631,3.1777470111846924,1.2897169589996338,4.119841575622559,42.53299903869629,23.898765563964844,98.96662998199463,0.5876667019240436,0.5029471572906954,0.6399220180750568,0.5617822955342631,0.5161471103828242,0.6404923207477083,0.108,0.046,0.20900000000000002
Liver,Rapid HPF,10,0.0024305700208060443,0.0014865401608403772,0.003767406800761819,1.4383026957511902,0.7355039864778519,2.07064288854599,41.8885440826416,27.712812423706055,58.56116199493408,0.5297857127332551,0.5123751209060952,0.5608093303258772,0.528206646577517,0.5208724760798518,0.5638004114901352,0.042499999999999996,0.005750000000000001,0.08074999999999999
Cortex,Rapid HPF,2,0.0020653317333199084,0.0015884145395830274,0.0025422489270567894,1.3416950702667236,0.9835383892059326,1.6998517513275146,25.170114517211914,22.627416610717773,27.712812423706055,0.5616093659221097,0.508966067528977,0.6142526643152425,0.5743782530847079,0.5154648916512683,0.6332916145181476,0.0085,0.004,0.013
Cortex,Chemical,7,0.002632430288940668,0.0017780981725081801,0.003667237935587764,1.8652039766311646,1.0835669040679932,2.216097354888916,16.0,16.0,35.7770881652832,0.554656374501992,0.4551336146272855,0.8343848580441641,0.5863904200722296,0.46216596343178623,0.8902909218366631,0.0,0.0,0.066
