metric,column,label,region_group,chem_n,chem_mean,chem_median,hpf_n,hpf_mean,hpf_median
voronoi_gap,percentiles_nm_p75,gap p75 nm,Hepatocyte lateral,6,68.7264747867781,47.68650279113103,6,51.3195594697594,40.39908513062425
voronoi_gap,percentiles_nm_p75,gap p75 nm,Intercalated disc,2,97.65428595837861,97.65428595837861,2,125.66222364377771,125.66222364377771
voronoi_gap,percentiles_nm_p75,gap p75 nm,PCT lateral,1,37.856406460551014,37.856406460551014,1,48.51596081796784,48.51596081796784
voronoi_gap,contact_fractions_p40,contact<40nm,Bile canaliculus,3,0.31676160417120164,0.3517529961854185,4,0.3535697252305316,0.3505981139145112
voronoi_gap,contact_fractions_p40,contact<40nm,Cardiac interstitial,2,0.040931637701991715,0.040931637701991715,2,0.14011778280540835,0.14011778280540835
voronoi_gap,contact_fractions_p40,contact<40nm,DCT base,1,0.526738945650305,0.526738945650305,3,0.44916924178932455,0.45388372863601867
voronoi_gap,contact_fractions_p40,contact<40nm,Glomerular,2,0.09394273739207207,0.09394273739207207,2,0.11806828264438975,0.11806828264438975
voronoi_gap,contact_fractions_p40,contact<40nm,Hepatocyte lateral,6,0.6636394205821795,0.6814441725162346,6,0.6554447880696906,0.7569968540388716
voronoi_gap,contact_fractions_p40,contact<40nm,Intercalated disc,2,0.2771769420271222,0.2771769420271222,2,0.5273315849493255,0.5273315849493255
voronoi_gap,contact_fractions_p40,contact<40nm,PCT lateral,1,0.7967681281848652,0.7967681281848652,1,0.3770880963903676,0.3770880963903676
voronoi_gap,contact_fractions_p80,contact<80nm,Bile canaliculus,3,0.5905908455456521,0.5839643380556913,4,0.6519986568448963,0.6470707327980789
voronoi_gap,contact_fractions_p80,contact<80nm,Cardiac interstitial,2,0.5230115920797097,0.5230115920797097,2,0.44064062186615677,0.44064062186615677
voronoi_gap,contact_fractions_p80,contact<80nm,DCT base,1,0.5968779741219605,0.5968779741219605,3,0.9362767387537491,0.9296173238138762
voronoi_gap,contact_fractions_p80,contact<80nm,Glomerular,2,0.35147646044959246,0.35147646044959246,2,0.31969879675489493,0.31969879675489493
voronoi_gap,contact_fractions_p80,contact<80nm,Hepatocyte lateral,6,0.81868565040119,0.9093589884028888,6,0.8749513726941605,0.9220524697843844
voronoi_gap,contact_fractions_p80,contact<80nm,Intercalated disc,2,0.7201087383005236,0.7201087383005236,2,0.6862799319848489,0.6862799319848489
voronoi_gap,contact_fractions_p80,contact<80nm,PCT lateral,1,1.0,1.0,1,0.9845885553126512,0.9845885553126512
sa_v,sa_v_ecs_per_nm,SA:V /nm,Bile canaliculus,3,0.010388988495208803,0.009970969274522108,4,0.0030943576819296823,0.0028978524580160186
sa_v,sa_v_ecs_per_nm,SA:V /nm,Cardiac interstitial,2,0.007594456349181248,0.007594456349181248,2,0.010404139116438465,0.010404139116438465
sa_v,sa_v_ecs_per_nm,SA:V /nm,DCT base,1,0.01689327760575374,0.01689327760575374,3,0.010725203512743347,0.008254140847962691
sa_v,sa_v_ecs_per_nm,SA:V /nm,Glomerular,2,0.015483494940330644,0.015483494940330644,2,0.01670453068731821,0.01670453068731821
sa_v,sa_v_ecs_per_nm,SA:V /nm,Hepatocyte lateral,6,0.0036706050788053316,0.003318367463153849,6,0.004402342330706028,0.0025509519311781607
sa_v,sa_v_ecs_per_nm,SA:V /nm,Intercalated disc,2,0.0056721184776842605,0.0056721184776842605,2,0.0055788592923522815,0.0055788592923522815
sa_v,sa_v_ecs_per_nm,SA:V /nm,PCT lateral,1,0.001504663046388574,0.001504663046388574,1,0.006363897930285987,0.006363897930285987
sa_v,cell_density_per_um3,cells/um3,Bile canaliculus,3,2.8483072916666665,3.41796875,4,0.7414641203703703,0.8680555555555556
sa_v,cell_density_per_um3,cells/um3,Cardiac interstitial,2,0.8544921875,0.8544921875,2,4.638671875,4.638671875
sa_v,cell_density_per_um3,cells/um3,DCT base,1,4.296875,4.296875,3,2.2397367774971944,1.257694128787879
sa_v,cell_density_per_um3,cells/um3,Glomerular,2,3.544560185185185,3.544560185185185,2,2.4358701814058956,2.4358701814058956
sa_v,cell_density_per_um3,cells/um3,Hepatocyte lateral,6,0.8615968088624338,0.6316654265873016,6,1.4108486276455026,0.537109375
sa_v,cell_density_per_um3,cells/um3,Intercalated disc,2,0.6103515625,0.6103515625,2,0.37434895833333337,0.37434895833333337
sa_v,cell_density_per_um3,cells/um3,PCT lateral,1,0.12460127591706538,0.12460127591706538,1,1.3834635416666667,1.3834635416666667
topology,fraction_convex,frac convex,Bile canaliculus,3,0.5875125465905328,0.6098420464176356,4,0.4861574913617616,0.48328726012762613
topology,fraction_convex,frac convex,Cardiac interstitial,2,0.36769042000158947,0.36769042000158947,2,0.5422314305492135,0.5422314305492135
topology,fraction_convex,frac convex,DCT base,1,0.41393425298487113,0.41393425298487113,3,0.39435206173008436,0.3690043382310937
topology,fraction_convex,frac convex,Glomerular,2,0.5513889887908532,0.5513889887908532,2,0.5697798040961003,0.5697798040961003
topology,fraction_convex,frac convex,Hepatocyte lateral,6,0.3541933862961876,0.3548614302024037,6,0.3477493678388227,0.3152308901709487
topology,fraction_convex,frac convex,Intercalated disc,2,0.3315812037493733,0.3315812037493733,2,0.34961231107042023,0.34961231107042023
topology,fraction_convex,frac convex,PCT lateral,1,0.23979070966758712,0.23979070966758712,1,0.4663716356246573,0.4663716356246573
topology,fraction_concave,frac concave,Bile canaliculus,3,0.243117321967724,0.25614210047972835,4,0.2270807617168963,0.22712194360285665
topology,fraction_concave,frac concave,Cardiac interstitial,2,0.2336031343210765,0.2336031343210765,2,0.19714126001481835,0.19714126001481835
topology,fraction_concave,frac concave,DCT base,1,0.2123643126348145,0.2123643126348145,3,0.24983374723438465,0.2510727955643457
topology,fraction_concave,frac concave,Glomerular,2,0.19916200979021978,0.19916200979021978,2,0.17890276877678774,0.17890276877678774
topology,fraction_concave,frac concave,Hepatocyte lateral,6,0.24185563849676212,0.2418873656480673,6,0.22204058135441423,0.22477069095997398
topology,fraction_concave,frac concave,Intercalated disc,2,0.29278225021997684,0.29278225021997684,2,0.3081546386355566,0.3081546386355566
topology,fraction_concave,frac concave,PCT lateral,1,0.20449816066821389,0.20449816066821389,1,0.3506101151815746,0.3506101151815746
topology,fraction_flat,frac flat,Bile canaliculus,3,0.16937013144174312,0.1592717227049681,4,0.2867617469213421,0.2895907962695175
topology,fraction_flat,frac flat,Cardiac interstitial,2,0.39870644567733415,0.39870644567733415,2,0.2606273094359681,0.2606273094359681
topology,fraction_flat,frac flat,DCT base,1,0.3737014343803147,0.3737014343803147,3,0.3558141910355313,0.3968626508800988
topology,fraction_flat,frac flat,Glomerular,2,0.24944900141892662,0.24944900141892662,2,0.25131742712711175,0.25131742712711175
topology,fraction_flat,frac flat,Hepatocyte lateral,6,0.40395097520705026,0.3459517230930297,6,0.43021005080676294,0.4598885674347566
topology,fraction_flat,frac flat,Intercalated disc,2,0.3756365460306499,0.3756365460306499,2,0.34223305029402307,0.34223305029402307
topology,fraction_flat,frac flat,PCT lateral,1,0.5557111296641989,0.5557111296641989,1,0.1830182491937687,0.1830182491937687
topology,curvature_std_per_nm,|H| std /nm,Bile canaliculus,3,0.015108104365133527,0.015648486890790635,4,0.012337677867618158,0.012156928838074732
topology,curvature_std_per_nm,|H| std /nm,Cardiac interstitial,2,0.011359712078026284,0.011359712078026284,2,0.008549954209530067,0.008549954209530067
topology,curvature_std_per_nm,|H| std /nm,DCT base,1,0.008101039050794845,0.008101039050794845,3,0.008247541001640763,0.007431462643795908
topology,curvature_std_per_nm,|H| std /nm,Glomerular,2,0.007474889182439021,0.007474889182439021,2,0.011408245872806193,0.011408245872806193
topology,curvature_std_per_nm,|H| std /nm,Hepatocyte lateral,6,0.007090117365490412,0.006793888233788815,6,0.005543225822860691,0.004950595402256817
topology,curvature_std_per_nm,|H| std /nm,Intercalated disc,2,0.0073331502098881365,0.0073331502098881365,2,0.007858870038204646,0.007858870038204646
topology,curvature_std_per_nm,|H| std /nm,PCT lateral,1,0.0047114312865244225,0.0047114312865244225,1,0.013241237946873706,0.013241237946873706
topology,roughness_rms_nm_p30,rough 30nm,Bile canaliculus,3,1.9882229001013279,1.999232680203552,4,1.6610919988192538,1.7010620441339381
topology,roughness_rms_nm_p30,rough 30nm,Cardiac interstitial,2,1.7217390666429127,1.7217390666429127,2,1.4869898826210979,1.4869898826210979
topology,roughness_rms_nm_p30,rough 30nm,DCT base,1,1.134434707238743,1.134434707238743,3,1.1181935410624475,1.036843261209989
topology,roughness_rms_nm_p30,rough 30nm,Glomerular,2,1.3640792524305159,1.3640792524305159,2,1.497851898615965,1.497851898615965
topology,roughness_rms_nm_p30,rough 30nm,Hepatocyte lateral,6,1.0508919292952617,1.056107369120572,6,0.8717533311982223,0.7559227887418472
topology,roughness_rms_nm_p30,rough 30nm,Intercalated disc,2,1.1256925644864901,1.1256925644864901,2,1.1832123636941092,1.1832123636941092
topology,roughness_rms_nm_p30,rough 30nm,PCT lateral,1,0.6777472830196699,0.6777472830196699,1,1.7373525622692705,1.7373525622692705
topology,roughness_rms_nm_p60,rough 60nm,Bile canaliculus,3,6.051655250009736,6.105697750454002,4,5.241376828608453,5.315492888268711
topology,roughness_rms_nm_p60,rough 60nm,Cardiac interstitial,2,4.866205529000348,4.866205529000348,2,4.863513071914766,4.863513071914766
topology,roughness_rms_nm_p60,rough 60nm,DCT base,1,3.486516309216045,3.486516309216045,3,3.548393770110865,3.1481119008794405
topology,roughness_rms_nm_p60,rough 60nm,Glomerular,2,4.507728476716101,4.507728476716101,2,4.792381860705797,4.792381860705797
topology,roughness_rms_nm_p60,rough 60nm,Hepatocyte lateral,6,3.42992938152504,3.4434619543758,6,2.7434438596889024,2.283248597679593
topology,roughness_rms_nm_p60,rough 60nm,Intercalated disc,2,3.5429422371602177,3.5429422371602177,2,3.8887276456424136,3.8887276456424136
topology,roughness_rms_nm_p60,rough 60nm,PCT lateral,1,2.1093396265996787,2.1093396265996787,1,5.533725675563966,5.533725675563966
topology,roughness_rms_nm_p120,rough 120nm,Bile canaliculus,3,16.595797808526473,16.914844479236947,4,14.491513480168738,14.387968959555623
topology,roughness_rms_nm_p120,rough 120nm,Cardiac interstitial,2,11.08332152824088,11.08332152824088,2,14.476899006076083,14.476899006076083
topology,roughness_rms_nm_p120,rough 120nm,DCT base,1,10.114885656735932,10.114885656735932,3,10.324922743098723,9.32679354941491
topology,roughness_rms_nm_p120,rough 120nm,Glomerular,2,13.532591045980507,13.532591045980507,2,13.937289677119756,13.937289677119756
topology,roughness_rms_nm_p120,rough 120nm,Hepatocyte lateral,6,9.997174588794065,9.899546439602227,6,7.795601929835458,6.368977432276802
