metric,column,label,region_group,chem_n,chem_mean,chem_median,hpf_n,hpf_mean,hpf_median
volume_fraction,ecs_fraction,ECS frac,Bile canaliculus,3,0.19807892708333333,0.1921095,4,0.08213289814814814,0.07334092592592593
volume_fraction,ecs_fraction,ECS frac,DCT base,2,0.2491085546875,0.2491085546875,3,0.11525516638608305,0.10857792592592592
volume_fraction,ecs_fraction,ECS frac,Glomerular,2,0.39989541666666667,0.39989541666666667,1,0.6475103673469388,0.6475103673469388
volume_fraction,ecs_fraction,ECS frac,Hepatocyte lateral,1,0.21914896875,0.21914896875,6,0.06973528004850088,0.0284764875
volume_fraction,cell_fraction,cell frac,Bile canaliculus,3,0.8019210729166667,0.8078905,4,0.9178671018518518,0.9266590740740741
volume_fraction,cell_fraction,cell frac,DCT base,2,0.7508914296875,0.7508914296875,3,0.8847448336139169,0.891422074074074
volume_fraction,cell_fraction,cell frac,Glomerular,2,0.6001045833333334,0.6001045833333334,1,0.3524896326530612,0.3524896326530612
volume_fraction,cell_fraction,cell frac,Hepatocyte lateral,1,0.78085103125,0.78085103125,6,0.9302647199514991,0.9715235125
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Bile canaliculus,3,10.247410293710624,9.797958971132712,4,12.82842712474619,13.65685424949238
ecs_width,narrow_percentiles_nm_p25,width p25 nm,DCT base,2,11.21110255092798,11.21110255092798,3,8.0,8.0
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Glomerular,2,17.165151389911678,17.165151389911678,1,25.298221281347036,25.298221281347036
ecs_width,narrow_percentiles_nm_p25,width p25 nm,Hepatocyte lateral,1,16.492422502470642,16.492422502470642,6,8.552284749830793,8.0
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Bile canaliculus,3,28.94215213278907,32.49615361854384,4,28.283240345371283,28.97056274847714
ecs_width,narrow_percentiles_nm_p50,width p50 nm,DCT base,2,32.52032043177643,32.52032043177643,3,12.161274486173513,11.313708498984761
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Glomerular,2,35.94579241286413,35.94579241286413,1,51.22499389946279,51.22499389946279
ecs_width,narrow_percentiles_nm_p50,width p50 nm,Hepatocyte lateral,1,35.32704346531139,35.32704346531139,6,12.539891129716887,11.313708498984761
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Bile canaliculus,3,69.14142217206683,70.9929573971954,4,56.736370390353024,54.17601498127012
ecs_width,narrow_percentiles_nm_p75,width p75 nm,DCT base,2,60.2099463490856,60.2099463490856,3,18.457668527420687,17.88854381999832
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Glomerular,2,63.890153572861976,63.890153572861976,1,87.63560920082658,87.63560920082658
ecs_width,narrow_percentiles_nm_p75,width p75 nm,Hepatocyte lateral,1,65.72670690061993,65.72670690061993,6,22.73787436974098,16.94427190999916
ecs_width,narrow_fraction,frac <200nm,Bile canaliculus,3,0.9513345283019036,0.9955036148365574,4,0.9917373501733021,0.998400965801342
ecs_width,narrow_fraction,frac <200nm,DCT base,2,0.9998794354549723,0.9998794354549723,3,1.0,1.0
ecs_width,narrow_fraction,frac <200nm,Glomerular,2,0.9911000411425746,0.9911000411425746,1,0.6551719225486832,0.6551719225486832
ecs_width,narrow_fraction,frac <200nm,Hepatocyte lateral,1,0.9986882495882153,0.9986882495882153,6,0.9982066311504953,1.0
voronoi_gap,percentiles_nm_p25,gap p25 nm,Bile canaliculus,3,24.20762601724308,17.65685424949238,4,32.58505747976789,34.241911729260266
voronoi_gap,percentiles_nm_p25,gap p25 nm,DCT base,2,14.292528739883945,14.292528739883945,3,33.588677633933735,32.0
voronoi_gap,percentiles_nm_p25,gap p25 nm,Glomerular,2,58.227314901667256,58.227314901667256,1,94.16263691415206,94.16263691415206
voronoi_gap,percentiles_nm_p25,gap p25 nm,Hepatocyte lateral,1,58.45690715344331,58.45690715344331,6,29.742847719153687,27.31370849898476
voronoi_gap,percentiles_nm_p50,gap p50 nm,Bile canaliculus,3,42.60544080539835,39.3008655283005,4,58.84758543160123,53.760778110790994
voronoi_gap,percentiles_nm_p50,gap p50 nm,DCT base,2,19.2368006498831,19.2368006498831,3,39.188067721016566,41.452324402816444
