crop,tissue,prep,region_group,voxel_nm,n_ecs_voxels,n_narrow_voxels,narrow_fraction,full_percentiles_nm_p10,full_percentiles_nm_p25,full_percentiles_nm_p50,full_percentiles_nm_p75,full_percentiles_nm_p90,narrow_percentiles_nm_p10,narrow_percentiles_nm_p25,narrow_percentiles_nm_p50,narrow_percentiles_nm_p75,narrow_percentiles_nm_p90,narrow_mean_nm,narrow_std_nm,native_voxel_nm,analysis_voxel_nm
crop1145,Heart,Chemical,Cardiac interstitial,8.0,2515797,1619281,0.6436453338643777,11.313708498984761,27.712812921102035,110.27239001672177,281.25433329995116,447.85712007290897,8.0,17.88854381999832,37.52332607858744,101.50862032359616,157.58172482873766,62.866212161271484,55.79834124330523,8.0,8.0
crop1147,Heart,Chemical,Intercalated disc,8.0,902719,902719,1.0,8.0,13.856406460551018,29.93325909419153,50.59644256269407,68.35202996254024,8.0,13.856406460551018,29.93325909419153,50.59644256269407,68.35202996254024,34.62696575345034,23.552015021679544,8.0,8.0
crop1146,Heart,Chemical,Cardiac interstitial,8.0,2024249,2016157,0.9960024680758148,8.0,16.0,29.93325909419153,61.44916598294886,100.55844071981228,8.0,16.0,29.93325909419153,61.44916598294886,98.95453501482385,43.46472824725282,37.18757694201579,8.0,8.0
crop1028,Kidney,Chemical,PCT brush border,4.0,14332063,11840426,0.8261494524549606,6.928203230275509,18.33030277982336,80.09993757800315,166.18062462272792,252.1269521491108,5.656854249492381,14.422205101855956,53.81449618829484,119.19731540601072,163.65818036383027,70.04128003874911,59.80142058546538,4.0,4.0
crop1029,Kidney,Chemical,PCT brush border,4.0,26840290,13071529,0.4870114667166413,12.0,62.0966987850401,208.30746506066458,388.1030790911095,567.6336846946277,5.656854249492381,16.0,58.92367945062494,124.70765814495917,168.949696655543,73.61243517967308,61.10297673616659,4.0,4.0
crop1032,Kidney,Chemical,PCT base,4.0,19408691,19404011,0.9997588709099444,5.656854249492381,14.422205101855956,41.376321731154405,76.4198926981712,107.70329614269008,5.656854249492381,14.422205101855956,41.376321731154405,76.4198926981712,107.70329614269008,49.47666102365639,39.19824387012472,4.0,4.0
crop1039,Liver,Chemical,Bile canaliculus,4.0,12295008,10555264,0.8584999700691532,5.656854249492381,12.649110640673518,51.22499389946279,137.34627770711518,233.16946626863475,4.0,9.797958971132712,36.0,93.72299611087985,148.43180252223578,57.242345708550694,55.33933575636799,4.0,4.0
crop1040,Liver,Chemical,Bile canaliculus,4.0,14468289,14403234,0.9955036148365574,5.656854249492381,12.0,32.7414110874898,71.88880302244571,109.2520022699813,4.0,12.0,32.49615361854384,70.9929573971954,107.92590050585633,46.00816606775467,41.3556866877203,4.0,4.0
crop1042,Liver,Chemical,Bile canaliculus,4.0,11267857,11267857,1.0,5.656854249492381,8.94427190999916,18.33030277982336,42.708313008125245,73.10266752998827,5.656854249492381,8.94427190999916,18.33030277982336,42.708313008125245,73.10266752998827,29.933809968933485,28.1993859605185,4.0,4.0
crop1044,Liver,Chemical,Hepatocyte lateral,4.0,14025534,14007136,0.9986882495882153,8.0,16.492422502470642,35.77708763999664,66.09084656743322,99.43842315724842,8.0,16.492422502470642,35.32704346531139,65.72670690061993,99.03534722511958,45.448279521399286,36.63222694479718,4.0,4.0
crop1036,Cortex,Chemical,,2.0,6830094,6830094,1.0,2.0,2.8284271247461903,6.0,10.198039027185569,14.422205101855956,2.0,2.8284271247461903,6.0,10.198039027185569,14.422205101855956,7.370196839922216,5.02067836051834,2.0,2.0
crop1034,Cortex,Chemical,,2.0,5578838,5578838,1.0,2.0,2.0,4.47213595499958,7.483314773547883,12.0,2.0,2.0,4.47213595499958,7.483314773547883,12.0,5.761877389376175,4.567028966006588,2.0,2.0
crop1043,Liver,Chemical,Space of Disse,4.0,17013177,17006336,0.9995978999101697,5.656854249492381,9.797958971132712,21.908902300206645,41.376321731154405,65.60487786742691,5.656854249492381,9.797958971132712,21.908902300206645,41.376321731154405,65.4828221749796,29.652750586947622,25.482484227685134,4.0,4.0
crop1030,Kidney,Chemical,DCT base,4.0,15596505,15596505,1.0,4.0,8.0,23.664319132398465,44.0,58.240879114244144,4.0,8.0,23.664319132398465,44.0,58.240879114244144,27.740382786779982,20.978542588448047,4.0,4.0
crop1046,Cortex,Chemical,,2.0,13283138,13280693,0.9998159320485868,2.0,4.0,8.246211251235321,14.560219778561036,25.37715508089904,2.0,4.0,8.246211251235321,14.560219778561036,25.37715508089904,14.42527210120335,22.482723908665726,2.0,2.0
crop1038,Liver,Chemical,Space of Disse,4.0,35129706,31160459,0.8870116647147573,8.94427190999916,20.396078054371138,48.82622246293481,107.70329614269008,217.18195136797164,8.0,17.88854381999832,40.98780306383839,81.68231142664855,128.31211945876353,55.56530308759695,47.03044073977079,4.0,4.0
crop1045,Cortex,Chemical,,2.0,13863020,13856421,0.9995239853942359,2.0,4.0,9.16515138991168,37.57658845611187,103.32473082471591,2.0,4.0,9.16515138991168,37.36308338453881,103.09219175087898,30.432656890934847,43.49444952885333,2.0,2.0
crop1026,Kidney,Chemical,Glomerular,4.0,38423632,38405274,0.9995222211164213,6.928203230275509,16.0,32.49615361854384,59.464274989274024,89.17398723843182,6.928203230275509,16.0,32.49615361854384,59.19459434779497,88.90444308357148,41.385136651961865,32.65808759629431,4.0,4.0
crop1041,Liver,Chemical,Space of Disse,4.0,17191268,16553520,0.9629027946047959,6.928203230275509,14.422205101855956,30.199337741083,59.19459434779497,111.78550889985696,6.928203230275509,14.422205101855956,28.5657137141714,54.405882034941776,92.26050075736637,40.9331190363123,38.2170190530065,4.0,4.0
crop1033,Cortex,Chemical,,2.0,5986777,5986777,1.0,2.0,2.0,2.8284271247461903,6.0,9.16515138991168,2.0,2.0,2.8284271247461903,6.0,9.16515138991168,4.551831648764386,3.418511087008957,2.0,2.0
