crop,tissue,prep,region_group,voxel_nm,n_ecs_voxels,n_narrow_voxels,narrow_fraction,full_percentiles_nm_p10,full_percentiles_nm_p25,full_percentiles_nm_p50,full_percentiles_nm_p75,full_percentiles_nm_p90,narrow_percentiles_nm_p10,narrow_percentiles_nm_p25,narrow_percentiles_nm_p50,narrow_percentiles_nm_p75,narrow_percentiles_nm_p90,narrow_mean_nm,narrow_std_nm
crop1030,Kidney,Chemical,DCT base,4.0,15596505,15596505,1.0,4.0,8.0,23.664319132398465,44.0,58.240879114244144,4.0,8.0,23.664319132398465,44.0,58.240879114244144,27.740382786779982,20.978542588448047
crop1034,Cortex,Chemical,,2.0,5578838,5578838,1.0,2.0,2.0,4.47213595499958,7.483314773547883,12.0,2.0,2.0,4.47213595499958,7.483314773547883,12.0,5.761877389376175,4.567028966006588
crop1044,Liver,Chemical,Hepatocyte lateral,4.0,14025534,14007136,0.9986882495882153,8.0,16.492422502470642,35.77708763999664,66.09084656743322,99.43842315724842,8.0,16.492422502470642,35.32704346531139,65.72670690061993,99.03534722511958,45.448279521399286,36.63222694479718
crop1041,Liver,Chemical,Space of Disse,4.0,17191268,16553520,0.9629027946047959,6.928203230275509,14.422205101855956,30.199337741083,59.19459434779497,111.78550889985696,6.928203230275509,14.422205101855956,28.5657137141714,54.405882034941776,92.26050075736637,40.9331190363123,38.2170190530065
crop1040,Liver,Chemical,Bile canaliculus,4.0,14468289,14403234,0.9955036148365574,5.656854249492381,12.0,32.7414110874898,71.88880302244571,109.2520022699813,4.0,12.0,32.49615361854384,70.9929573971954,107.92590050585633,46.00816606775467,41.3556866877203
crop1027,Kidney,Chemical,Glomerular,4.0,47953778,47123116,0.9826778611687279,8.0,18.33030277982336,40.0,70.8801805866774,117.37120600896968,8.0,18.33030277982336,39.395431207184416,68.58571279792899,109.2520022699813,49.886561992389176,41.19007908760667
crop1046,Cortex,Chemical,,2.0,13283138,13280693,0.9998159320485868,2.0,4.0,8.246211251235321,14.560219778561036,25.37715508089904,2.0,4.0,8.246211251235321,14.560219778561036,25.37715508089904,14.42527210120335,22.482723908665726
crop1135,Kidney,Rapid HPF,Glomerular,8.0,3134321,3134145,0.9999438474872229,8.0,16.0,34.87119154832539,65.4828221749796,96.33275663033837,8.0,16.0,34.87119154832539,65.4828221749796,96.33275663033837,44.845718683428295,34.27461374896726
crop1148,Heart,Chemical,Intercalated disc,8.0,1459143,1459143,1.0,8.0,8.0,16.0,22.627416997969522,29.93325909419153,8.0,8.0,16.0,22.627416997969522,29.93325909419153,18.111522535246717,11.808360235066122
crop1031,Kidney,Chemical,PCT lateral,4.0,3612809,3612809,1.0,4.0,4.0,8.0,14.966629547095765,21.540659228538015,4.0,4.0,8.0,14.966629547095765,21.540659228538015,10.692853479329154,6.996687961928733
crop1043,Liver,Chemical,Space of Disse,4.0,17013177,17006336,0.9995978999101697,5.656854249492381,9.797958971132712,21.908902300206645,41.376321731154405,65.60487786742691,5.656854249492381,9.797958971132712,21.908902300206645,41.376321731154405,65.4828221749796,29.652750586947622,25.482484227685134
crop1036,Cortex,Chemical,,2.0,6830094,6830094,1.0,2.0,2.8284271247461903,6.0,10.198039027185569,14.422205101855956,2.0,2.8284271247461903,6.0,10.198039027185569,14.422205101855956,7.370196839922216,5.02067836051834
crop1038,Liver,Chemical,Space of Disse,4.0,35129706,31160459,0.8870116647147573,8.94427190999916,20.396078054371138,48.82622246293481,107.70329614269008,217.18195136797164,8.0,17.88854381999832,40.98780306383839,81.68231142664855,128.31211945876353,55.56530308759695,47.03044073977079
crop1035,Cortex,Chemical,,2.0,5316575,5316575,1.0,2.0,2.8284271247461903,4.0,6.6332495807108,12.0,2.0,2.8284271247461903,4.0,6.6332495807108,12.0,5.746755393489636,4.862069749611824
crop1026,Kidney,Chemical,Glomerular,4.0,38423632,38405274,0.9995222211164213,6.928203230275509,16.0,32.49615361854384,59.464274989274024,89.17398723843182,6.928203230275509,16.0,32.49615361854384,59.19459434779497,88.90444308357148,41.385136651961865,32.65808759629431
crop1045,Cortex,Chemical,,2.0,13863020,13856421,0.9995239853942359,2.0,4.0,9.16515138991168,37.57658845611187,103.32473082471591,2.0,4.0,9.16515138991168,37.36308338453881,103.09219175087898,30.432656890934847,43.49444952885333
crop1037,Cortex,Chemical,,2.0,64698755,51435441,0.7949989300412349,8.246211251235321,24.73863375370596,92.0,176.02272580550502,279.1128803907122,6.324555320336759,18.33030277982336,62.51399843235114,120.0,161.20794025109308,72.95607819320199,58.29328703328166
crop1033,Cortex,Chemical,,2.0,5986777,5986777,1.0,2.0,2.0,2.8284271247461903,6.0,9.16515138991168,2.0,2.0,2.8284271247461903,6.0,9.16515138991168,4.551831648764386,3.418511087008957
crop1138,Kidney,Rapid HPF,PCT lateral,8.0,2160509,2160509,1.0,8.0,8.0,13.856406460551018,22.627416997969522,29.93325909419153,8.0,8.0,13.856406460551018,22.627416997969522,29.93325909419153,16.637834386727853,9.473566989515977
crop1149,Heart,Rapid HPF,Cardiac interstitial,8.0,1708999,1708999,1.0,8.0,16.0,29.93325909419153,51.22499389946279,72.0,8.0,16.0,29.93325909419153,51.22499389946279,72.0,36.649709584316696,26.013191004166554
crop1150,Heart,Rapid HPF,Cardiac interstitial,8.0,3082541,2775539,0.900406190866561,11.313708498984761,19.595917942265423,48.662100242385755,125.98412598418898,199.35897271003378,8.0,17.88854381999832,40.792156108742276,97.65244492586962,151.7893276880822,62.135812030808445,53.66112835730033
crop1151,Heart,Rapid HPF,Intercalated disc,8.0,684488,684488,1.0,8.0,8.0,8.0,11.313708498984761,16.0,8.0,8.0,8.0,11.313708498984761,16.0,10.83932573153571,3.8432397733536106
crop1152,Heart,Rapid HPF,Intercalated disc,8.0,1616537,1616453,0.999948037069365,8.0,19.595917942265423,43.08131845707603,70.19971509913698,94.31860898041276,8.0,19.595917942265423,43.08131845707603,70.19971509913698,94.31860898041276,47.85810159376364,32.17344259903857
crop1118,Liver,Chemical,Hepatocyte lateral,8.0,231677,231640,0.9998402948933213,8.0,8.0,16.0,41.569219381653056,75.47184905645283,8.0,8.0,16.0,41.569219381653056,75.47184905645283,30.232722731761807,30.657375193275268
crop1119,Liver,Chemical,Hepatocyte lateral,8.0,345174,345173,0.9999971029104162,8.0,8.0,17.88854381999832,39.191835884530846,68.81860213634101,8.0,8.0,17.88854381999832,39.191835884530846,68.81860213634101,29.812982471441114,29.780549290369017
crop1120,Liver,Chemical,Hepatocyte lateral,8.0,282388,282388,1.0,8.0,8.0,11.313708498984761,22.627416997969522,32.984845004941285,8.0,8.0,11.313708498984761,22.627416997969522,32.984845004941285,17.24079766656921,12.639195874421857
crop1121,Liver,Chemical,Hepatocyte lateral,8.0,121600,121600,1.0,8.0,8.0,8.0,11.313708498984761,13.856406460551018,8.0,8.0,8.0,11.313708498984761,13.856406460551018,11.1071295433919,7.536618649947196
crop1122,Liver,Chemical,Hepatocyte lateral,8.0,391854,391854,1.0,8.0,8.0,16.0,32.0,53.0659966456864,8.0,8.0,16.0,32.0,53.0659966456864,23.072806892478624,19.98049802327246
