crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320
crop1026,Kidney,Chemical,Glomerular,4.0,2099151,12.0,116.21171335145733,76.75741165229717,33.38883464895172,56.74181688223247,96.8998886412873,165.25297492672206,228.0663993849219,0.05251885166907955,0.13221773945752355,0.40966514557552075,0.7354378031880507,0.9886830437638836
crop1027,Kidney,Chemical,Glomerular,4.0,2123095,12.0,125.05158367147367,85.47034147568263,33.14153314314416,59.712812921102035,114.40588203494178,163.16129506733344,230.20334871928353,0.045089833474243966,0.13673905312762735,0.3609056589554401,0.7332945534702875,0.959062123927568
crop1028,Kidney,Chemical,PCT brush border,4.0,1329765,12.0,145.62557058467377,184.754859193946,16.58505747976789,27.31370849898476,45.93673728290915,217.0908814272409,429.09219616611654,0.147517794497524,0.4396934796749802,0.6189138682398769,0.7061931995502965,0.8201441608103688
crop1029,Kidney,Chemical,PCT brush border,4.0,1766998,12.0,278.3188964023594,366.9269885008243,18.928203230275507,31.688704263277558,80.31052757219823,421.2248934312954,819.6314390588412,0.1144862642742097,0.33720524867600304,0.49940181030199243,0.5881608241775033,0.697984378024197
crop1030,Kidney,Chemical,DCT base,4.0,2256461,12.0,50.9839194741964,51.98673336568896,12.0,13.65685424949238,19.872475140274666,101.6436458225811,137.24278954738134,0.526565715073294,0.6611157914982798,0.7086215981574687,0.9712687256726351,1.0
crop1031,Kidney,Chemical,PCT lateral,4.0,588685,12.0,22.94457300845867,10.055839415128574,12.0,12.0,20.94427190999916,28.58020766040636,38.380966322468964,0.41495196921953165,0.917252860188386,1.0,1.0,1.0
crop1032,Kidney,Chemical,DCT base,4.0,1935545,12.0,77.19242614167993,91.35555199554493,13.65685424949238,14.928203230275509,18.60112615949154,130.69449965776144,237.98704658648637,0.5219341322469898,0.6081077939288417,0.6747882379381518,0.8019286557532891,0.987205670754232
crop1134,Kidney,Rapid HPF,Glomerular,8.0,682553,24.0,179.57366699028177,185.09126430779466,62.245811243945234,94.16263691415206,159.36651290049394,208.47942537826668,259.96620353760017,0.0,0.013289810461605179,0.18950469780368703,0.5024767307447188,0.9580340281267535
crop1136,Kidney,Rapid HPF,DCT base,8.0,654899,24.0,46.74332836588824,21.617444701941135,24.0,32.0,41.452324402816444,54.62741699796952,74.92597050189556,0.0,0.45388372863601867,0.9169413909625759,0.9996686511965968,1.0
crop1137,Kidney,Rapid HPF,DCT base,8.0,533924,24.0,40.56771810518462,22.007742235460864,24.0,27.31370849898476,30.627416997969522,45.48446176226374,70.91810409913282,0.0,0.6853934267798413,0.9296173238138762,0.9985971786246731,1.0
