metric,column,label,tissue,prep,n,mean,median
voronoi_gap,percentiles_nm_p75,gap p75 nm,Heart,Rapid HPF,4,140.341287557241,155.02035147070427
voronoi_gap,percentiles_nm_p75,gap p75 nm,Kidney,Chemical,7,189.73473391921593,167.19595949289334
voronoi_gap,percentiles_nm_p75,gap p75 nm,Kidney,Rapid HPF,6,96.73956069757861,52.425375969102234
voronoi_gap,percentiles_nm_p75,gap p75 nm,Liver,Chemical,12,108.14565996591243,114.23578437303172
voronoi_gap,percentiles_nm_p75,gap p75 nm,Liver,Rapid HPF,10,77.72824762814281,61.113153776078
voronoi_gap,contact_fractions_p40,contact<40nm,Cortex,Chemical,7,0.762612286724901,0.8193764933439527
voronoi_gap,contact_fractions_p40,contact<40nm,Cortex,Rapid HPF,5,0.6435389417637508,0.6670276526858585
voronoi_gap,contact_fractions_p40,contact<40nm,Heart,Chemical,4,0.15905428986455694,0.07562482939973042
voronoi_gap,contact_fractions_p40,contact<40nm,Heart,Rapid HPF,4,0.333724683877367,0.186288485324538
voronoi_gap,contact_fractions_p40,contact<40nm,Kidney,Chemical,7,0.38061714954208975,0.35041530679624533
voronoi_gap,contact_fractions_p40,contact<40nm,Kidney,Rapid HPF,6,0.3267887311745201,0.299967425608771
voronoi_gap,contact_fractions_p40,contact<40nm,Liver,Chemical,12,0.4551714117483215,0.3749966536048408
voronoi_gap,contact_fractions_p40,contact<40nm,Liver,Rapid HPF,10,0.5346947629340271,0.429279979566364
voronoi_gap,contact_fractions_p80,contact<80nm,Cortex,Chemical,7,0.9480421115563912,0.9986204346342018
voronoi_gap,contact_fractions_p80,contact<80nm,Cortex,Rapid HPF,5,0.9257695034256761,0.9437759237273368
voronoi_gap,contact_fractions_p80,contact<80nm,Heart,Chemical,4,0.6215601651901166,0.5436903449768957
voronoi_gap,contact_fractions_p80,contact<80nm,Heart,Rapid HPF,4,0.5634602769255028,0.44064062186615677
voronoi_gap,contact_fractions_p80,contact<80nm,Kidney,Chemical,7,0.5693743198386343,0.5941525308597119
voronoi_gap,contact_fractions_p80,contact<80nm,Kidney,Rapid HPF,6,0.738802727513948,0.9232793573882261
voronoi_gap,contact_fractions_p80,contact<80nm,Liver,Chemical,12,0.6861197361710277,0.6226014786362735
voronoi_gap,contact_fractions_p80,contact<80nm,Liver,Rapid HPF,10,0.7857702863544548,0.8399303595850582
sa_v,sa_v_ecs_per_nm,SA:V /nm,Cortex,Chemical,7,0.016395967398115274,0.017234882358036066
sa_v,sa_v_ecs_per_nm,SA:V /nm,Cortex,Rapid HPF,5,0.016103590046269683,0.016480365512225557
sa_v,sa_v_ecs_per_nm,SA:V /nm,Heart,Chemical,4,0.006633287413432754,0.006636549768126681
sa_v,sa_v_ecs_per_nm,SA:V /nm,Heart,Rapid HPF,4,0.007991499204395373,0.0066461759986801245
sa_v,sa_v_ecs_per_nm,SA:V /nm,Kidney,Chemical,7,0.020890173933117925,0.01696863742743577
sa_v,sa_v_ecs_per_nm,SA:V /nm,Kidney,Rapid HPF,6,0.011991428307192076,0.011912851898692638
sa_v,sa_v_ecs_per_nm,SA:V /nm,Liver,Chemical,12,0.00830561394152771,0.0075324196986984665
sa_v,sa_v_ecs_per_nm,SA:V /nm,Liver,Rapid HPF,10,0.0038791484711954895,0.0027041494005396473
sa_v,cell_density_per_um3,cells/um3,Cortex,Chemical,7,20.121279761904763,18.75
sa_v,cell_density_per_um3,cells/um3,Cortex,Rapid HPF,5,9.396881311118197,10.091145833333334
sa_v,cell_density_per_um3,cells/um3,Heart,Chemical,4,0.732421875,0.732421875
sa_v,cell_density_per_um3,cells/um3,Heart,Rapid HPF,4,2.5065104166666665,2.3193359375
sa_v,cell_density_per_um3,cells/um3,Kidney,Chemical,7,12.832211971295031,4.340277777777778
sa_v,cell_density_per_um3,cells/um3,Kidney,Rapid HPF,6,2.1624023728283404,1.6085047300170068
sa_v,cell_density_per_um3,cells/um3,Liver,Chemical,12,2.0380575190145502,1.708984375
sa_v,cell_density_per_um3,cells/um3,Liver,Rapid HPF,10,1.1430948247354498,0.7269965277777778
topology,fraction_convex,frac convex,Cortex,Chemical,7,0.5681910683764498,0.5492541717872266
topology,fraction_convex,frac convex,Cortex,Rapid HPF,5,0.576595119028751,0.5968920309061939
topology,fraction_convex,frac convex,Heart,Chemical,4,0.3496358118754814,0.34885620897087416
topology,fraction_convex,frac convex,Heart,Rapid HPF,4,0.4459218708098169,0.4509685261258092
topology,fraction_convex,frac convex,Kidney,Chemical,7,0.574429547859905,0.5382540912496426
topology,fraction_convex,frac convex,Kidney,Rapid HPF,6,0.4648312381678518,0.4641794645141304
topology,fraction_convex,frac convex,Liver,Chemical,12,0.474302323288746,0.5395054784755255
topology,fraction_convex,frac convex,Liver,Rapid HPF,10,0.40311261724799824,0.3841631108767118
topology,fraction_concave,frac concave,Cortex,Chemical,7,0.15532849916123131,0.15903784712601737
topology,fraction_concave,frac concave,Cortex,Rapid HPF,5,0.14104432458764132,0.14405916404832875
topology,fraction_concave,frac concave,Heart,Chemical,4,0.26319269227052666,0.23869136196071064
topology,fraction_concave,frac concave,Heart,Rapid HPF,4,0.25264794932518747,0.252844876183303
topology,fraction_concave,frac concave,Kidney,Chemical,7,0.1512420882737074,0.1999555555420762
topology,fraction_concave,frac concave,Kidney,Rapid HPF,6,0.24298614907305066,0.242229021971064
topology,fraction_concave,frac concave,Liver,Chemical,12,0.2284852140939157,0.23223025808475561
topology,fraction_concave,frac concave,Liver,Rapid HPF,10,0.22405665349940707,0.22712194360285665
topology,fraction_flat,frac flat,Cortex,Chemical,7,0.2764804324623188,0.2642026086706095
topology,fraction_flat,frac flat,Cortex,Rapid HPF,5,0.28236055638360774,0.2688782824215457
topology,fraction_flat,frac flat,Heart,Chemical,4,0.387171495853992,0.39870644567733415
topology,fraction_flat,frac flat,Heart,Rapid HPF,4,0.3014301798649956,0.3066737620391034
topology,fraction_flat,frac flat,Kidney,Chemical,7,0.2743283638663875,0.26337744471199337
topology,fraction_flat,frac flat,Kidney,Rapid HPF,6,0.2921826127590977,0.2665094279761042
topology,fraction_flat,frac flat,Liver,Chemical,12,0.29721246261733825,0.22696789379153365
topology,fraction_flat,frac flat,Liver,Rapid HPF,10,0.37283072925259464,0.3787094064282266
topology,curvature_std_per_nm,|H| std /nm,Cortex,Chemical,7,0.007143275599398714,0.00715041674431557
topology,curvature_std_per_nm,|H| std /nm,Cortex,Rapid HPF,5,0.00672717420918244,0.00670945098414885
topology,curvature_std_per_nm,|H| std /nm,Heart,Chemical,4,0.009346431143957211,0.008938649454767286
topology,curvature_std_per_nm,|H| std /nm,Heart,Rapid HPF,4,0.008204412123867357,0.008092369024692679
topology,curvature_std_per_nm,|H| std /nm,Kidney,Chemical,7,0.006589033552180585,0.006253655233109925
topology,curvature_std_per_nm,|H| std /nm,Kidney,Rapid HPF,6,0.01013339211623473,0.009384667999463834
topology,curvature_std_per_nm,|H| std /nm,Liver,Chemical,12,0.00984540157809395,0.009629597029862737
topology,curvature_std_per_nm,|H| std /nm,Liver,Rapid HPF,10,0.008261006640763678,0.007332856887902346
topology,roughness_rms_nm_p30,rough 30nm,Cortex,Chemical,7,1.3707766618745314,1.3529265373592978
topology,roughness_rms_nm_p30,rough 30nm,Cortex,Rapid HPF,5,1.3398709574490102,1.4012271242367662
topology,roughness_rms_nm_p30,rough 30nm,Heart,Chemical,4,1.4237158155647014,1.3847593836236651
topology,roughness_rms_nm_p30,rough 30nm,Heart,Rapid HPF,4,1.3351011231576035,1.3414060679596187
topology,roughness_rms_nm_p30,rough 30nm,Kidney,Chemical,7,1.3505185658710777,1.3228531628306692
topology,roughness_rms_nm_p30,rough 30nm,Kidney,Rapid HPF,6,1.3479394971147571,1.40248225144374
topology,roughness_rms_nm_p30,rough 30nm,Liver,Chemical,12,1.4278349685896252,1.590129281887268
topology,roughness_rms_nm_p30,rough 30nm,Liver,Rapid HPF,10,1.187488798246635,1.1141025276617191
topology,roughness_rms_nm_p60,rough 60nm,Cortex,Chemical,7,4.52341740325385,4.393798062714293
topology,roughness_rms_nm_p60,rough 60nm,Cortex,Rapid HPF,5,4.449393365743836,4.66886347023173
topology,roughness_rms_nm_p60,rough 60nm,Heart,Chemical,4,4.204573883080283,4.250413302230477
topology,roughness_rms_nm_p60,rough 60nm,Heart,Rapid HPF,4,4.376120358778589,4.41814974822907
topology,roughness_rms_nm_p60,rough 60nm,Kidney,Chemical,7,4.528207664281706,4.3198074654613166
topology,roughness_rms_nm_p60,rough 60nm,Kidney,Rapid HPF,6,4.293945117884693,4.543738578033377
topology,roughness_rms_nm_p60,rough 60nm,Liver,Chemical,12,4.549139213159489,5.162634049909876
topology,roughness_rms_nm_p60,rough 60nm,Liver,Rapid HPF,10,3.742617047256722,3.6164939511964134
topology,roughness_rms_nm_p120,rough 120nm,Cortex,Chemical,7,13.761401622632624,13.131564953979739
topology,roughness_rms_nm_p120,rough 120nm,Cortex,Rapid HPF,5,13.563802081602788,14.209697821142363
topology,roughness_rms_nm_p120,rough 120nm,Heart,Chemical,4,10.619351689353744,11.009496838039102
topology,roughness_rms_nm_p120,rough 120nm,Heart,Rapid HPF,4,12.896591123413941,13.039147993835861
topology,roughness_rms_nm_p120,rough 120nm,Kidney,Chemical,7,13.889945825712285,12.928075296737033
topology,roughness_rms_nm_p120,rough 120nm,Kidney,Rapid HPF,6,12.423321496818106,13.132809070994622
topology,roughness_rms_nm_p120,rough 120nm,Liver,Chemical,12,13.106632301133693,14.890829026495966
topology,roughness_rms_nm_p120,rough 120nm,Liver,Rapid HPF,10,10.47396654996877,10.471146109241793
topology,protrusion_density_per_um2,prot/um2,Cortex,Chemical,7,20.50147594721902,20.11903590969504
topology,protrusion_density_per_um2,prot/um2,Cortex,Rapid HPF,5,15.79934462184717,16.14459834800786
topology,protrusion_density_per_um2,prot/um2,Heart,Chemical,4,10.708474091895422,10.254851270047741
topology,protrusion_density_per_um2,prot/um2,Heart,Rapid HPF,4,12.514356361334572,12.592683978238789
topology,protrusion_density_per_um2,prot/um2,Kidney,Chemical,7,14.408907781504308,13.37347927740299
topology,protrusion_density_per_um2,prot/um2,Kidney,Rapid HPF,6,11.626229384807074,11.224561690810447
topology,protrusion_density_per_um2,prot/um2,Liver,Chemical,12,12.328932722771663,12.53252493799569
topology,protrusion_density_per_um2,prot/um2,Liver,Rapid HPF,10,10.911437404381472,10.617361695478262
topology,indentation_density_per_um2,ind/um2,Cortex,Chemical,7,2.1852865422443877,1.8204815628154083
topology,indentation_density_per_um2,ind/um2,Cortex,Rapid HPF,5,1.8040080851240625,1.627305976355867
topology,indentation_density_per_um2,ind/um2,Heart,Chemical,4,6.4746189895256,5.804956330871887
topology,indentation_density_per_um2,ind/um2,Heart,Rapid HPF,4,4.8587198567430665,5.007645076360237
topology,indentation_density_per_um2,ind/um2,Kidney,Chemical,7,3.0280685041495192,3.2325829029709063
topology,indentation_density_per_um2,ind/um2,Kidney,Rapid HPF,6,4.8364816625575795,4.8245176029747885
topology,indentation_density_per_um2,ind/um2,Liver,Chemical,12,4.962966708194273,5.140472891752383
topology,indentation_density_per_um2,ind/um2,Liver,Rapid HPF,10,3.7909675210295632,4.185490530569199
