tissue,dataset,crop,prep,status,voxel_size_nm,total_ecs_voxels,full_median_nm,full_mean_nm,narrow_voxels,narrow_fraction,narrow_p10_nm,narrow_p25_nm,narrow_median_nm,narrow_mean_nm,narrow_p75_nm,narrow_p90_nm,narrow_std_nm,frac_below_10nm,frac_below_20nm,frac_below_30nm,frac_below_50nm,frac_below_75nm,frac_below_100nm
Liver,jrc_mus-liver-8,crop1126,Rapid HPF,OK,"[8.0, 8.0, 8.0]",843338,11.31,17.03,843338,1.0,8.0,8.0,11.31,17.03,16.0,40.0,14.07,0.4765,0.7736,0.841,0.9492,0.9993,1.0
Liver,jrc_mus-liver-8,crop1127,Rapid HPF,OK,"[8.0, 8.0, 8.0]",541640,11.31,16.21,541640,1.0,8.0,8.0,11.31,16.21,17.89,32.0,11.74,0.4023,0.8061,0.8944,0.9706,0.9981,1.0
Liver,jrc_mus-liver-8,crop1071,Rapid HPF,OK,"[8.0, 8.0, 8.0]",7583400,25.3,41.83,7501801,0.9892,8.0,11.31,25.3,39.87,51.22,94.99,38.39,0.1686,0.4158,0.5664,0.7432,0.8518,0.9096
Liver,jrc_mus-liver-8,crop1072,Rapid HPF,OK,"[8.0, 8.0, 8.0]",1054491,24.0,28.74,1054491,1.0,8.0,11.31,24.0,28.74,40.0,58.79,20.54,0.2064,0.4609,0.6303,0.8404,0.9636,0.9963
Liver,jrc_mus-liver-8,crop1073,Rapid HPF,OK,"[8.0, 8.0, 8.0]",3855452,40.0,63.53,3740357,0.9701,8.0,16.0,39.19,58.7,93.3,144.0,52.23,0.145,0.3388,0.4449,0.5703,0.6809,0.773
Liver,jrc_mus-liver-8,crop1074,Rapid HPF,OK,"[8.0, 8.0, 8.0]",2742593,33.94,47.9,2733822,0.9968,8.0,16.0,33.94,47.37,68.35,108.81,40.21,0.1439,0.3367,0.4658,0.6402,0.7818,0.8759
Liver,jrc_mus-liver-8,crop1075,Rapid HPF,OK,"[8.0, 8.0, 8.0]",1217817,16.0,19.91,1217817,1.0,8.0,8.0,16.0,19.91,25.3,37.52,12.95,0.2619,0.6392,0.8249,0.964,0.9976,1.0
Cortex,jrc_mus-cortex-2,crop1116,Rapid HPF,OK,"[8.0, 8.0, 8.0]",12784323,11.31,19.87,12784323,1.0,8.0,8.0,11.31,19.87,25.3,43.08,17.45,0.4169,0.6852,0.8138,0.9308,0.9808,0.9953
Cortex,jrc_mus-cortex-2,crop1117,Rapid HPF,NO ECS LABEL,,,,,,,,,,,,,,,,,,,
Cortex,jrc_mus-cortex-3,crop1033,Chemical,OK,"[2.0, 2.0, 2.0]",5986777,2.83,4.55,5986777,1.0,2.0,2.0,2.83,4.55,6.0,9.17,3.42,0.9109,0.997,1.0,1.0,1.0,1.0
Cortex,jrc_mus-cortex-3,crop1034,Chemical,OK,"[2.0, 2.0, 2.0]",5578838,4.47,5.76,5578838,1.0,2.0,2.0,4.47,5.76,7.48,12.0,4.57,0.836,0.9851,0.9987,1.0,1.0,1.0
Cortex,jrc_mus-cortex-3,crop1035,Chemical,OK,"[2.0, 2.0, 2.0]",5316575,4.0,5.75,5316575,1.0,2.0,2.83,4.0,5.75,6.63,12.0,4.86,0.8535,0.9743,0.9965,1.0,1.0,1.0
Cortex,jrc_mus-cortex-3,crop1036,Chemical,OK,"[2.0, 2.0, 2.0]",6830094,6.0,7.37,6830094,1.0,2.0,2.83,6.0,7.37,10.2,14.42,5.02,0.7296,0.9761,0.9996,1.0,1.0,1.0
Cortex,jrc_mus-cortex-3,crop1037,Chemical,OK,"[2.0, 2.0, 2.0]",64698755,92.0,117.36,51435441,0.795,6.32,18.33,62.51,72.96,120.0,161.21,58.29,0.1454,0.2668,0.3556,0.4457,0.5544,0.6643
Cortex,jrc_mus-cortex-3,crop1045,Chemical,OK,"[2.0, 2.0, 2.0]",13863020,9.17,30.51,13856421,0.9995,2.0,4.0,9.17,30.43,37.36,103.09,43.49,0.5142,0.6869,0.7278,0.7832,0.8435,0.8942
Cortex,jrc_mus-cortex-3,crop1046,Chemical,OK,"[2.0, 2.0, 2.0]",13283138,8.25,14.46,13280693,0.9998,2.0,4.0,8.25,14.43,14.56,25.38,22.48,0.5816,0.8518,0.9182,0.9449,0.9647,0.9789
Cortex,jrc_mus-cortex-4,crop1139,Rapid HPF,OK,"[8.0, 8.0, 8.0]",18642220,240.0,254.58,8078349,0.4333,11.31,24.0,68.35,81.13,133.87,173.25,60.3,0.0979,0.2157,0.2956,0.4152,0.5271,0.6246
Cortex,jrc_mus-cortex-4,crop1141,Rapid HPF,OK,"[8.0, 8.0, 8.0]",2348394,11.31,13.99,2348394,1.0,8.0,8.0,11.31,13.99,17.89,25.3,8.49,0.4454,0.8324,0.9423,0.9951,1.0,1.0
