tissue,dataset,crop,prep,cell_id,voxels_8nm,volume_nm3,volume_um3,ecs_faces,total_faces,ecs_sa_nm2,total_sa_nm2,sa_v_ratio,sphericity
Liver,jrc_mus-liver,crop1040,Chemical,23,8268,4233216.0,0.0042,2991,3488,191424.0,223232.0,0.04521952,0.6611
Liver,jrc_mus-liver,crop1040,Chemical,24,5141,2632192.0,0.0026,1679,2386,107456.0,152704.0,0.04082377,0.858
Liver,jrc_mus-liver,crop1040,Chemical,25,5314,2720768.0,0.0027,1867,2528,119488.0,161792.0,0.04391701,0.7888
Liver,jrc_mus-liver,crop1040,Chemical,26,3850,1971200.0,0.002,1657,2096,106048.0,134144.0,0.0537987,0.7169
Liver,jrc_mus-liver,crop1040,Chemical,27,126,64512.0,0.0001,122,204,7808.0,13056.0,0.12103175,0.9963
Liver,jrc_mus-liver,crop1041,Chemical,1,4486801,2297242112.0,2.2972,272664,399676,17450496.0,25579264.0,0.00759628,0.4825
Liver,jrc_mus-liver,crop1041,Chemical,2,2315,1185280.0,0.0012,891,1328,57024.0,84992.0,0.04811015,0.9498
Liver,jrc_mus-liver,crop1041,Chemical,3,7226,3699712.0,0.0037,2876,3332,184064.0,213248.0,0.0497509,0.6285
Liver,jrc_mus-liver,crop1041,Chemical,4,7852,4020224.0,0.004,3720,3770,238080.0,241280.0,0.05922058,0.5136
Liver,jrc_mus-liver,crop1041,Chemical,5,7397,3787264.0,0.0038,2827,3584,180928.0,229376.0,0.04777275,0.6494
Liver,jrc_mus-liver,crop1041,Chemical,6,7468,3823616.0,0.0038,3038,3406,194432.0,217984.0,0.05085029,0.6082
Liver,jrc_mus-liver,crop1041,Chemical,7,2359,1207808.0,0.0012,1225,1380,78400.0,88320.0,0.06491098,0.6996
Liver,jrc_mus-liver,crop1041,Chemical,8,7504,3842048.0,0.0038,3274,3658,209536.0,234112.0,0.05453758,0.5662
Liver,jrc_mus-liver,crop1041,Chemical,9,971918,497622016.0,0.4976,81693,106888,5228352.0,6840832.0,0.01050667,0.5808
Liver,jrc_mus-liver,crop1041,Chemical,10,9343,4783616.0,0.0048,4049,4526,259136.0,289664.0,0.05417157,0.5298
Liver,jrc_mus-liver,crop1041,Chemical,11,267,136704.0,0.0001,192,314,12288.0,20096.0,0.08988764,1.0444
Liver,jrc_mus-liver,crop1041,Chemical,12,681,348672.0,0.0003,517,760,33088.0,48640.0,0.09489721,0.724
Liver,jrc_mus-liver,crop1041,Chemical,13,684,350208.0,0.0004,598,598,38272.0,38272.0,0.10928363,0.6278
Liver,jrc_mus-liver,crop1041,Chemical,15,304119,155708928.0,0.1557,69543,84146,4450752.0,5385344.0,0.02858379,0.3145
Liver,jrc_mus-liver,crop1041,Chemical,16,305,156160.0,0.0002,350,350,22400.0,22400.0,0.14344262,0.6261
Liver,jrc_mus-liver,crop1041,Chemical,17,148,75776.0,0.0001,210,210,13440.0,13440.0,0.17736486,0.6443
Liver,jrc_mus-liver,crop1041,Chemical,18,3972,2033664.0,0.002,1870,2490,119680.0,159360.0,0.05884945,0.6486
Liver,jrc_mus-liver,crop1041,Chemical,19,266,136192.0,0.0001,314,314,20096.0,20096.0,0.14755639,0.637
Liver,jrc_mus-liver,crop1041,Chemical,20,257,131584.0,0.0001,306,306,19584.0,19584.0,0.14883268,0.6388
Liver,jrc_mus-liver,crop1041,Chemical,21,5338,2733056.0,0.0027,1807,3002,115648.0,192128.0,0.04231454,0.8174
Liver,jrc_mus-liver,crop1041,Chemical,22,1300,665600.0,0.0007,733,954,46912.0,61056.0,0.07048077,0.7859
Liver,jrc_mus-liver,crop1041,Chemical,24,371,189952.0,0.0002,382,382,24448.0,24448.0,0.1287062,0.6536
Liver,jrc_mus-liver,crop1041,Chemical,25,517,264704.0,0.0003,504,504,32256.0,32256.0,0.12185687,0.6181
Liver,jrc_mus-liver,crop1041,Chemical,26,1232,630784.0,0.0006,886,886,56704.0,56704.0,0.08989448,0.6273
Liver,jrc_mus-liver,crop1041,Chemical,27,112,57344.0,0.0001,182,184,11648.0,11776.0,0.203125,0.6174
Liver,jrc_mus-liver,crop1041,Chemical,28,123,62976.0,0.0001,192,192,12288.0,12288.0,0.19512195,0.6229
Liver,jrc_mus-liver,crop1041,Chemical,29,345,176640.0,0.0002,374,374,23936.0,23936.0,0.13550725,0.6361
Liver,jrc_mus-liver,crop1041,Chemical,30,133,68096.0,0.0001,153,208,9792.0,13312.0,0.14379699,0.8236
Liver,jrc_mus-liver,crop1041,Chemical,31,422,216064.0,0.0002,444,444,28416.0,28416.0,0.13151659,0.6128
Liver,jrc_mus-liver,crop1041,Chemical,32,485,248320.0,0.0002,474,474,30336.0,30336.0,0.12216495,0.6298
Liver,jrc_mus-liver,crop1041,Chemical,33,325,166400.0,0.0002,374,374,23936.0,23936.0,0.14384615,0.6112
Liver,jrc_mus-liver,crop1041,Chemical,34,459,235008.0,0.0002,444,444,28416.0,28416.0,0.12091503,0.6481
Liver,jrc_mus-liver,crop1041,Chemical,35,401,205312.0,0.0002,396,396,25344.0,25344.0,0.1234414,0.6641
Liver,jrc_mus-liver,crop1041,Chemical,36,630,322560.0,0.0003,568,568,36352.0,36352.0,0.11269841,0.6257
Liver,jrc_mus-liver,crop1041,Chemical,37,382,195584.0,0.0002,402,402,25728.0,25728.0,0.1315445,0.6333
Liver,jrc_mus-liver,crop1041,Chemical,38,245,125440.0,0.0001,310,310,19840.0,19840.0,0.15816327,0.6108
Liver,jrc_mus-liver,crop1041,Chemical,39,481,246272.0,0.0002,446,446,28544.0,28544.0,0.11590437,0.6657
Liver,jrc_mus-liver,crop1041,Chemical,40,4536,2322432.0,0.0023,1791,2092,114624.0,133888.0,0.04935516,0.7399
Liver,jrc_mus-liver,crop1041,Chemical,41,243,124416.0,0.0001,292,292,18688.0,18688.0,0.15020576,0.6449
Liver,jrc_mus-liver,crop1041,Chemical,42,707,361984.0,0.0004,598,598,38272.0,38272.0,0.10572843,0.6418
Liver,jrc_mus-liver,crop1041,Chemical,43,1008,516096.0,0.0005,774,774,49536.0,49536.0,0.09598214,0.6281
Liver,jrc_mus-liver,crop1041,Chemical,44,764,391168.0,0.0004,630,630,40320.0,40320.0,0.10307592,0.6415
Liver,jrc_mus-liver,crop1041,Chemical,45,756,387072.0,0.0004,628,628,40192.0,40192.0,0.10383598,0.6391
Liver,jrc_mus-liver,crop1041,Chemical,46,4064,2080768.0,0.0021,2046,2330,130944.0,149120.0,0.06293061,0.6019
Liver,jrc_mus-liver,crop1041,Chemical,47,5346,2737152.0,0.0027,2039,2638,130496.0,168832.0,0.04767583,0.7251
Liver,jrc_mus-liver,crop1041,Chemical,48,152,77824.0,0.0001,224,224,14336.0,14336.0,0.18421053,0.6149
Liver,jrc_mus-liver,crop1041,Chemical,49,429,219648.0,0.0002,313,480,20032.0,30720.0,0.09120047,0.8788
Liver,jrc_mus-liver,crop1041,Chemical,50,374,191488.0,0.0002,330,470,21120.0,30080.0,0.11029412,0.7607
Liver,jrc_mus-liver,crop1042,Chemical,1,4825823,2470821376.0,2.4708,212043,350864,13570752.0,22455296.0,0.00549241,0.6513
