tissue,dataset,crop,prep,status,voxel_size_nm,total_voronoi_faces,gap_median_nm,gap_mean_nm,gap_p25_nm,gap_p75_nm,gap_min_nm,contact_frac_10nm,contact_frac_20nm,contact_frac_40nm,contact_frac_80nm,contact_frac_160nm,contact_frac_320nm
Cortex,jrc_mus-cortex-2,crop1116,Rapid HPF,OK,"[8.0, 8.0, 8.0]",5437062,27.31,43.55,24.0,50.22,24.0,0.0,0.0,0.6724,0.8823,0.9841,0.9999
Cortex,jrc_mus-cortex-2,crop1117,Rapid HPF,MISSING LABELS,,,,,,,,,,,,,
Cortex,jrc_mus-cortex-3,crop1033,Chemical,OK,"[2.0, 2.0, 2.0]",2340355,6.83,10.74,6.0,13.31,6.0,0.6605,0.8832,0.9942,1.0,1.0,1.0
Cortex,jrc_mus-cortex-3,crop1034,Chemical,OK,"[2.0, 2.0, 2.0]",1643233,9.94,13.61,6.0,17.73,6.0,0.5117,0.7948,0.9744,1.0,1.0,1.0
Cortex,jrc_mus-cortex-3,crop1035,Chemical,OK,"[2.0, 2.0, 2.0]",1147732,12.13,16.1,10.47,16.69,8.93,0.1044,0.8119,0.9647,0.9996,1.0,1.0
Cortex,jrc_mus-cortex-3,crop1036,Chemical,OK,"[2.0, 2.0, 2.0]",1146508,20.0,21.53,12.13,28.68,6.0,0.2004,0.4997,0.9214,1.0,1.0,1.0
Cortex,jrc_mus-cortex-3,crop1037,Chemical,OK,"[2.0, 2.0, 2.0]",1539795,57.35,158.3,26.47,260.19,6.83,0.0129,0.1768,0.342,0.6658,0.6916,0.7934
Cortex,jrc_mus-cortex-3,crop1045,Chemical,OK,"[2.0, 2.0, 2.0]",1969970,12.56,16.44,6.0,23.16,6.0,0.4145,0.6937,0.9602,0.9998,1.0,1.0
Cortex,jrc_mus-cortex-3,crop1046,Chemical,OK,"[2.0, 2.0, 2.0]",1651105,22.97,25.21,12.0,33.75,6.83,0.1786,0.4199,0.8356,0.9984,1.0,1.0
Cortex,jrc_mus-cortex-4,crop1139,Rapid HPF,OK,"[8.0, 8.0, 8.0]",1032557,99.74,381.65,37.86,772.06,24.0,0.0,0.0,0.26,0.4529,0.5862,0.635
Cortex,jrc_mus-cortex-4,crop1141,Rapid HPF,OK,"[8.0, 8.0, 8.0]",1058461,30.63,39.1,27.31,45.48,24.0,0.0,0.0,0.6817,0.9555,0.9999,1.0
