tissue,dataset,crop,prep,status,shape,voxel_size_nm,total_voxels,total_volume_um3,ecs_voxels,ecs_pct,ecs_volume_um3,cell_voxels,cell_pct,cell_volume_um3,ecs_method,cell_method
Cortex,jrc_mus-cortex-2,crop1116,Rapid HPF,OK,"(400, 400, 400)","[8.0, 8.0, 8.0]",64000000,32.768,12784323,19.98,6.5456,51215677,80.02,26.2224,metadata,metadata
Cortex,jrc_mus-cortex-2,crop1117,Rapid HPF,OK,"(400, 400, 400)",,64000000,,,,,,,,no_label,no_label
Cortex,jrc_mus-cortex-3,crop1033,Chemical,OK,"(500, 500, 500)","[2.0, 2.0, 2.0]",125000000,1.0,5986777,4.79,0.0479,119013223,95.21,0.9521,metadata,metadata
Cortex,jrc_mus-cortex-3,crop1034,Chemical,OK,"(400, 400, 400)","[2.0, 2.0, 2.0]",64000000,0.512,5578838,8.72,0.0446,58421162,91.28,0.4674,metadata,metadata
Cortex,jrc_mus-cortex-3,crop1035,Chemical,OK,"(500, 500, 500)","[2.0, 2.0, 2.0]",125000000,1.0,5316575,4.25,0.0425,119683425,95.75,0.9575,metadata,metadata
Cortex,jrc_mus-cortex-3,crop1036,Chemical,OK,"(400, 400, 400)","[2.0, 2.0, 2.0]",64000000,0.512,6830094,10.67,0.0546,57169906,89.33,0.4574,metadata,metadata
Cortex,jrc_mus-cortex-3,crop1037,Chemical,OK,"(600, 800, 400)","[2.0, 2.0, 2.0]",192000000,1.536,64698755,33.7,0.5176,127301245,66.3,1.0184,metadata,metadata
Cortex,jrc_mus-cortex-3,crop1045,Chemical,OK,"(400, 400, 600)","[2.0, 2.0, 2.0]",96000000,0.768,13863020,14.44,0.1109,82136980,85.56,0.6571,metadata,metadata
Cortex,jrc_mus-cortex-3,crop1046,Chemical,OK,"(500, 400, 400)","[2.0, 2.0, 2.0]",80000000,0.64,13283138,16.6,0.1063,66716862,83.4,0.5337,metadata,metadata
Cortex,jrc_mus-cortex-4,crop1139,Rapid HPF,OK,"(300, 300, 300)","[8.0, 8.0, 8.0]",27000000,13.824,18642220,69.05,9.5448,8357780,30.95,4.2792,metadata,metadata
Cortex,jrc_mus-cortex-4,crop1141,Rapid HPF,OK,"(200, 350, 350)","[8.0, 8.0, 8.0]",24500000,12.544,2348394,9.59,1.2024,22151606,90.41,11.3416,metadata,metadata
